AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
34.0,6.0,10.0,0,4251.0,312.0,10.0,24.0,0,8.0,0
50.0,4.0,23.0,0,2100.0,36.0,0.0,60.0,1,6.0,1
24.0,1.0,19.0,0,4700.0,6.0,12.0,28.0,0,1.0,0
55.0,1.0,13.0,1,220.0,6.0,0.0,40.0,1,1.0,1
32.0,6.0,20.0,0,2751.0,6.0,12.0,50.0,0,1.0,0
57.0,7.0,22.0,0,8810.0,313.0,0.0,40.0,0,1.0,1
32.0,7.0,15.0,1,3930.0,151.0,1.0,50.0,0,1.0,1
42.0,1.0,19.0,1,3602.0,233.0,0.0,60.0,1,6.0,0
37.0,1.0,21.0,1,1021.0,207.0,0.0,40.0,0,6.0,1
29.0,5.0,20.0,0,9040.0,6.0,13.0,40.0,0,1.0,1
24.0,3.0,21.0,0,2545.0,24.0,2.0,4.0,1,6.0,0
53.0,1.0,16.0,1,140.0,247.0,1.0,40.0,1,6.0,0
21.0,2.0,17.0,0,3648.0,6.0,2.0,40.0,1,1.0,0
62.0,1.0,16.0,1,4220.0,207.0,1.0,40.0,1,6.0,0
24.0,1.0,21.0,0,630.0,6.0,11.0,40.0,0,6.0,1
44.0,1.0,23.0,1,2100.0,38.0,1.0,55.0,1,1.0,1
50.0,6.0,21.0,1,4820.0,210.0,1.0,10.0,0,6.0,0
20.0,1.0,16.0,0,4760.0,6.0,10.0,40.0,1,8.0,0
21.0,1.0,20.0,0,6040.0,6.0,2.0,30.0,1,6.0,0
33.0,1.0,20.0,0,136.0,6.0,12.0,50.0,0,1.0,1
23.0,1.0,16.0,0,4220.0,6.0,2.0,30.0,0,1.0,0
40.0,1.0,20.0,1,1021.0,6.0,0.0,40.0,1,1.0,1
58.0,6.0,21.0,1,2100.0,6.0,1.0,60.0,0,1.0,1
55.0,1.0,16.0,1,6200.0,6.0,1.0,40.0,0,1.0,0
23.0,1.0,21.0,0,2145.0,6.0,2.0,40.0,1,1.0,0
37.0,6.0,21.0,0,4210.0,49.0,13.0,37.0,0,1.0,0
51.0,2.0,21.0,1,2310.0,6.0,1.0,40.0,1,1.0,1
49.0,1.0,16.0,1,6700.0,36.0,0.0,40.0,0,1.0,1
57.0,1.0,20.0,0,5720.0,6.0,0.0,38.0,1,1.0,1
44.0,3.0,21.0,1,2015.0,6.0,0.0,40.0,0,1.0,1
26.0,1.0,16.0,0,4720.0,6.0,2.0,40.0,0,8.0,0
55.0,1.0,16.0,1,6260.0,6.0,1.0,45.0,0,1.0,0
34.0,1.0,19.0,1,3601.0,303.0,9.0,35.0,1,1.0,0
35.0,1.0,20.0,1,140.0,233.0,0.0,32.0,0,6.0,0
26.0,1.0,21.0,0,4760.0,132.0,0.0,15.0,1,1.0,1
31.0,3.0,22.0,1,2002.0,6.0,0.0,40.0,1,1.0,1
66.0,1.0,20.0,0,3645.0,22.0,0.0,40.0,1,2.0,1
47.0,1.0,22.0,1,10.0,240.0,0.0,60.0,0,6.0,1
49.0,1.0,23.0,1,2752.0,207.0,0.0,20.0,1,6.0,0
68.0,1.0,18.0,0,5240.0,53.0,0.0,37.0,1,1.0,0
25.0,1.0,21.0,0,1021.0,207.0,17.0,40.0,0,6.0,0
46.0,6.0,20.0,0,4920.0,6.0,0.0,20.0,1,1.0,0
31.0,1.0,21.0,0,2002.0,6.0,2.0,20.0,0,6.0,0
22.0,1.0,19.0,0,7700.0,6.0,0.0,40.0,0,1.0,0
54.0,1.0,23.0,1,10.0,25.0,0.0,50.0,0,1.0,1
31.0,1.0,22.0,0,4850.0,210.0,11.0,40.0,0,6.0,1
30.0,6.0,19.0,0,4700.0,6.0,13.0,40.0,1,1.0,0
53.0,1.0,16.0,0,4110.0,31.0,0.0,40.0,1,1.0,0
44.0,1.0,16.0,0,4400.0,34.0,13.0,25.0,1,6.0,0
36.0,3.0,21.0,0,2310.0,26.0,0.0,40.0,1,1.0,1
61.0,1.0,22.0,1,1980.0,6.0,1.0,24.0,1,1.0,1
50.0,1.0,22.0,0,5740.0,4.0,0.0,35.0,1,1.0,0
60.0,7.0,9.0,0,6260.0,303.0,0.0,30.0,0,8.0,0
63.0,7.0,21.0,1,4820.0,6.0,0.0,25.0,0,1.0,1
44.0,1.0,2.0,1,4140.0,303.0,0.0,40.0,0,1.0,0
73.0,6.0,22.0,0,2360.0,6.0,0.0,30.0,1,1.0,1
56.0,7.0,22.0,0,4621.0,25.0,0.0,10.0,1,1.0,0
45.0,2.0,21.0,1,3545.0,28.0,0.0,40.0,0,2.0,1
50.0,1.0,21.0,0,800.0,233.0,0.0,40.0,1,6.0,1
27.0,3.0,21.0,0,5250.0,6.0,2.0,40.0,0,1.0,0
29.0,3.0,21.0,0,3870.0,6.0,5.0,40.0,0,1.0,1
