AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
54.0,7.0,22.0,1,1860.0,25.0,0.0,40.0,0,1.0,0
39.0,5.0,24.0,1,3870.0,11.0,0.0,50.0,0,1.0,1
18.0,1.0,16.0,0,4760.0,1.0,17.0,20.0,0,1.0,0
46.0,6.0,13.0,1,205.0,35.0,0.0,50.0,0,3.0,0
47.0,6.0,15.0,0,7200.0,35.0,0.0,25.0,0,9.0,0
57.0,2.0,24.0,0,2310.0,6.0,0.0,40.0,1,1.0,1
53.0,1.0,16.0,0,5400.0,35.0,0.0,40.0,1,1.0,0
59.0,6.0,22.0,0,2600.0,110.0,0.0,25.0,0,1.0,0
23.0,3.0,21.0,1,2310.0,27.0,1.0,40.0,1,1.0,0
43.0,1.0,21.0,1,51.0,29.0,0.0,40.0,0,1.0,0
59.0,1.0,21.0,1,6050.0,6.0,0.0,30.0,0,1.0,0
57.0,4.0,22.0,0,2310.0,4.0,0.0,40.0,1,1.0,1
47.0,4.0,21.0,1,2310.0,35.0,1.0,40.0,1,1.0,0
32.0,1.0,20.0,1,3255.0,12.0,0.0,36.0,1,1.0,1
68.0,1.0,16.0,1,4110.0,217.0,1.0,34.0,1,1.0,0
67.0,6.0,21.0,0,6230.0,35.0,0.0,5.0,0,1.0,0
60.0,1.0,16.0,0,4200.0,35.0,0.0,32.0,0,1.0,0
20.0,5.0,16.0,0,9830.0,26.0,17.0,50.0,0,1.0,0
30.0,1.0,16.0,0,3220.0,4.0,2.0,36.0,1,3.0,0
27.0,2.0,19.0,0,3602.0,35.0,2.0,32.0,1,3.0,0
70.0,6.0,23.0,0,8920.0,6.0,0.0,25.0,1,1.0,0
50.0,4.0,23.0,1,2205.0,35.0,0.0,80.0,0,1.0,1
52.0,1.0,17.0,1,7200.0,35.0,0.0,40.0,0,1.0,0
28.0,2.0,15.0,1,2300.0,48.0,0.0,88.0,1,1.0,0
50.0,1.0,13.0,1,5860.0,35.0,1.0,40.0,1,1.0,0
31.0,1.0,21.0,0,4700.0,12.0,0.0,40.0,0,1.0,0
26.0,1.0,20.0,0,4950.0,35.0,2.0,40.0,0,1.0,0
34.0,1.0,18.0,0,4700.0,26.0,0.0,50.0,1,1.0,0
54.0,1.0,16.0,0,6230.0,26.0,13.0,13.0,0,1.0,0
64.0,1.0,16.0,1,6441.0,35.0,0.0,40.0,0,1.0,1
64.0,5.0,21.0,0,3930.0,26.0,0.0,40.0,1,1.0,1
60.0,1.0,20.0,1,5110.0,27.0,0.0,40.0,1,1.0,0
17.0,1.0,13.0,0,6260.0,4.0,4.0,20.0,0,8.0,0
18.0,1.0,16.0,0,6355.0,35.0,7.0,40.0,0,8.0,0
43.0,3.0,19.0,0,5720.0,35.0,2.0,40.0,0,3.0,0
60.0,1.0,19.0,1,9150.0,48.0,0.0,20.0,0,1.0,0
