AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
50.0,2.0,19.0,1,2545.0,44.0,0.0,19.0,1,1.0,0
31.0,1.0,20.0,1,6442.0,25.0,1.0,40.0,0,1.0,0
36.0,1.0,22.0,1,3160.0,44.0,0.0,45.0,0,1.0,1
30.0,1.0,21.0,0,710.0,44.0,0.0,50.0,0,1.0,1
53.0,1.0,20.0,1,705.0,25.0,0.0,27.0,1,1.0,0
60.0,1.0,21.0,1,5740.0,44.0,1.0,30.0,1,1.0,0
48.0,1.0,21.0,1,3300.0,303.0,1.0,32.0,0,8.0,0
28.0,1.0,16.0,0,4700.0,44.0,0.0,38.0,0,1.0,0
43.0,1.0,21.0,1,5420.0,44.0,1.0,50.0,1,1.0,1
61.0,1.0,16.0,1,6050.0,44.0,1.0,40.0,1,1.0,0
60.0,2.0,16.0,1,5400.0,44.0,1.0,35.0,1,1.0,0
48.0,1.0,21.0,1,800.0,44.0,0.0,30.0,1,1.0,0
31.0,1.0,20.0,0,3255.0,44.0,13.0,40.0,1,1.0,0
51.0,1.0,16.0,1,4020.0,206.0,10.0,40.0,0,6.0,0
21.0,1.0,19.0,0,5400.0,25.0,17.0,10.0,1,2.0,0
20.0,1.0,19.0,0,4251.0,25.0,17.0,40.0,0,1.0,0
53.0,1.0,19.0,1,3300.0,44.0,1.0,40.0,1,1.0,0
59.0,3.0,21.0,1,810.0,36.0,1.0,40.0,1,1.0,0
62.0,1.0,19.0,1,4820.0,44.0,0.0,48.0,1,1.0,1
58.0,1.0,19.0,1,5610.0,44.0,1.0,30.0,0,1.0,0
44.0,1.0,9.0,1,9610.0,44.0,0.0,40.0,0,1.0,0
37.0,1.0,19.0,0,4700.0,44.0,2.0,45.0,1,1.0,0
63.0,6.0,21.0,1,8350.0,239.0,1.0,35.0,1,1.0,0
36.0,1.0,18.0,0,7905.0,25.0,0.0,42.0,0,1.0,0
58.0,1.0,16.0,1,4820.0,9.0,1.0,20.0,1,1.0,0
42.0,1.0,20.0,1,6250.0,120.0,1.0,40.0,0,1.0,1
18.0,1.0,16.0,0,4251.0,36.0,17.0,40.0,0,1.0,0
22.0,1.0,17.0,0,4055.0,23.0,16.0,45.0,1,1.0,0
52.0,1.0,21.0,1,20.0,36.0,0.0,45.0,0,1.0,1
50.0,1.0,21.0,0,3255.0,44.0,0.0,32.0,1,1.0,1
23.0,1.0,19.0,0,4720.0,44.0,2.0,20.0,0,1.0,0
45.0,3.0,21.0,0,5120.0,44.0,2.0,35.0,0,1.0,1
39.0,1.0,18.0,1,4000.0,233.0,1.0,40.0,0,6.0,1
63.0,2.0,20.0,0,3601.0,25.0,0.0,30.0,1,1.0,0
47.0,1.0,16.0,0,6442.0,44.0,0.0,40.0,0,1.0,0
65.0,1.0,19.0,0,5860.0,44.0,0.0,37.0,1,1.0,1
45.0,4.0,22.0,1,2002.0,429.0,0.0,60.0,1,2.0,1
36.0,2.0,20.0,1,2040.0,44.0,0.0,45.0,0,1.0,0
57.0,1.0,21.0,1,810.0,37.0,0.0,40.0,1,1.0,0
35.0,5.0,21.0,1,1460.0,6.0,0.0,40.0,0,1.0,1
37.0,1.0,14.0,1,4200.0,313.0,1.0,40.0,0,1.0,0
20.0,2.0,16.0,0,2060.0,49.0,15.0,80.0,0,1.0,0
55.0,1.0,20.0,1,9130.0,25.0,0.0,16.0,1,1.0,0
56.0,1.0,21.0,1,1108.0,36.0,1.0,50.0,1,1.0,1
19.0,1.0,18.0,0,9130.0,44.0,2.0,6.0,0,1.0,0
51.0,1.0,16.0,1,5120.0,44.0,0.0,40.0,1,1.0,0
28.0,1.0,16.0,0,4720.0,44.0,2.0,25.0,1,2.0,0
73.0,7.0,22.0,0,4820.0,36.0,0.0,80.0,0,1.0,1
34.0,1.0,15.0,1,8140.0,9.0,1.0,40.0,0,1.0,0
54.0,1.0,22.0,1,9130.0,303.0,1.0,40.0,0,9.0,0
50.0,1.0,16.0,0,9620.0,44.0,2.0,40.0,0,1.0,0
36.0,1.0,18.0,0,3545.0,44.0,0.0,40.0,1,1.0,1
54.0,1.0,16.0,0,4720.0,9.0,16.0,35.0,1,2.0,0
36.0,1.0,21.0,1,3255.0,44.0,1.0,32.0,1,2.0,1
56.0,7.0,21.0,0,4700.0,44.0,0.0,40.0,1,1.0,1
37.0,1.0,22.0,0,4700.0,9.0,0.0,50.0,0,1.0,1
91.0,1.0,16.0,0,5740.0,44.0,0.0,25.0,1,1.0,0
60.0,7.0,16.0,1,4760.0,301.0,0.0,40.0,1,1.0,0
18.0,1.0,16.0,0,5240.0,36.0,17.0,36.0,1,1.0,0
35.0,1.0,12.0,0,9130.0,72.0,0.0,40.0,0,9.0,0
66.0,1.0,16.0,1,4251.0,44.0,1.0,25.0,0,9.0,0
61.0,6.0,21.0,0,3602.0,329.0,2.0,40.0,1,1.0,0
69.0,4.0,22.0,1,2435.0,9.0,0.0,35.0,0,1.0,1
48.0,2.0,22.0,1,51.0,15.0,0.0,20.0,1,1.0,0
58.0,1.0,17.0,1,6305.0,44.0,0.0,50.0,0,1.0,1
22.0,1.0,19.0,0,4720.0,44.0,7.0,30.0,0,2.0,0
60.0,1.0,20.0,1,8140.0,6.0,0.0,40.0,0,1.0,1
22.0,4.0,19.0,0,4251.0,44.0,2.0,40.0,0,1.0,0
60.0,1.0,23.0,0,3255.0,339.0,0.0,40.0,1,2.0,1
44.0,1.0,16.0,1,5600.0,44.0,10.0,40.0,1,1.0,0
38.0,1.0,19.0,1,3603.0,44.0,1.0,60.0,1,1.0,0
36.0,1.0,21.0,1,110.0,210.0,0.0,40.0,0,6.0,1
65.0,6.0,21.0,1,2640.0,44.0,1.0,10.0,1,1.0,0
28.0,1.0,21.0,0,5240.0,44.0,0.0,40.0,0,1.0,0
41.0,1.0,21.0,1,3255.0,44.0,1.0,36.0,1,1.0,1
46.0,1.0,21.0,0,910.0,44.0,2.0,40.0,1,1.0,0
23.0,1.0,21.0,1,845.0,247.0,1.0,40.0,1,6.0,1
39.0,1.0,17.0,0,7700.0,44.0,15.0,50.0,0,1.0,0
79.0,6.0,1.0,1,6200.0,44.0,0.0,50.0,0,1.0,0
40.0,2.0,22.0,1,230.0,44.0,1.0,40.0,1,1.0,1
45.0,7.0,16.0,1,4055.0,44.0,0.0,70.0,1,1.0,0
45.0,1.0,23.0,1,4710.0,51.0,0.0,40.0,0,1.0,1
38.0,1.0,21.0,1,8225.0,44.0,0.0,56.0,0,1.0,0
31.0,1.0,21.0,0,52.0,224.0,0.0,60.0,0,1.0,1
36.0,2.0,22.0,1,2006.0,44.0,1.0,45.0,0,1.0,1
44.0,1.0,18.0,1,4010.0,25.0,1.0,45.0,1,1.0,1
18.0,4.0,15.0,0,4110.0,44.0,15.0,15.0,1,6.0,0
57.0,1.0,16.0,1,9645.0,44.0,9.0,28.0,1,1.0,0
52.0,3.0,22.0,1,2310.0,44.0,1.0,35.0,1,1.0,1
29.0,1.0,5.0,1,6410.0,313.0,0.0,40.0,0,1.0,0
38.0,1.0,21.0,1,120.0,210.0,0.0,50.0,0,6.0,1
57.0,1.0,1.0,1,4850.0,365.0,1.0,60.0,1,1.0,1
47.0,1.0,20.0,1,7330.0,44.0,1.0,40.0,0,1.0,0
34.0,1.0,19.0,0,4600.0,44.0,13.0,40.0,1,1.0,0
59.0,1.0,24.0,1,440.0,231.0,0.0,40.0,0,9.0,0
67.0,2.0,16.0,1,5740.0,44.0,1.0,35.0,1,1.0,0
54.0,1.0,21.0,0,20.0,44.0,0.0,40.0,0,1.0,1
33.0,1.0,19.0,1,4622.0,44.0,1.0,40.0,1,1.0,0
46.0,1.0,22.0,1,2001.0,44.0,0.0,20.0,1,1.0,0
20.0,1.0,19.0,0,310.0,44.0,7.0,40.0,0,2.0,0
62.0,1.0,18.0,1,4850.0,44.0,1.0,48.0,0,1.0,1
67.0,4.0,22.0,1,2205.0,36.0,0.0,40.0,0,1.0,1
27.0,1.0,22.0,0,5240.0,44.0,2.0,40.0,0,8.0,0
21.0,1.0,20.0,0,4020.0,9.0,13.0,25.0,1,1.0,0
56.0,1.0,24.0,1,440.0,9.0,0.0,50.0,0,1.0,1
74.0,2.0,22.0,0,2205.0,18.0,12.0,6.0,0,1.0,0
28.0,2.0,22.0,0,2205.0,139.0,13.0,40.0,0,1.0,0
24.0,3.0,21.0,0,2320.0,44.0,2.0,40.0,0,1.0,0
56.0,2.0,21.0,0,3255.0,34.0,0.0,36.0,1,1.0,1
42.0,4.0,21.0,1,630.0,44.0,0.0,40.0,1,1.0,1
22.0,5.0,21.0,0,9825.0,39.0,17.0,40.0,0,1.0,1
21.0,2.0,19.0,0,4120.0,42.0,17.0,25.0,0,2.0,0
22.0,1.0,21.0,0,4020.0,34.0,17.0,50.0,1,1.0,0
38.0,1.0,13.0,0,7700.0,25.0,15.0,40.0,1,1.0,0
29.0,1.0,20.0,0,3255.0,44.0,2.0,40.0,1,8.0,0
43.0,2.0,21.0,0,5740.0,39.0,13.0,40.0,1,1.0,1
57.0,1.0,21.0,0,5840.0,20.0,15.0,40.0,1,1.0,1
60.0,1.0,23.0,1,540.0,25.0,1.0,50.0,0,1.0,1
36.0,2.0,21.0,1,230.0,26.0,0.0,45.0,1,1.0,0
29.0,2.0,22.0,1,2002.0,44.0,0.0,40.0,1,1.0,1
38.0,1.0,16.0,0,4720.0,206.0,0.0,12.0,0,6.0,0
69.0,6.0,20.0,0,4920.0,44.0,15.0,50.0,0,1.0,0
49.0,2.0,23.0,1,3090.0,9.0,1.0,60.0,1,1.0,1
62.0,1.0,20.0,1,3255.0,25.0,1.0,32.0,1,1.0,1
22.0,1.0,19.0,0,4110.0,44.0,7.0,20.0,1,1.0,0
58.0,2.0,16.0,0,350.0,44.0,0.0,40.0,1,1.0,0
46.0,1.0,16.0,1,5630.0,44.0,0.0,40.0,0,1.0,0
33.0,4.0,21.0,1,3870.0,44.0,0.0,80.0,0,1.0,1
20.0,1.0,16.0,0,4020.0,44.0,2.0,12.0,0,1.0,0
38.0,2.0,21.0,1,410.0,44.0,0.0,40.0,1,1.0,1
51.0,1.0,16.0,1,4600.0,44.0,1.0,35.0,1,1.0,0
45.0,1.0,22.0,1,120.0,44.0,1.0,45.0,0,1.0,1
28.0,1.0,21.0,0,9005.0,44.0,7.0,40.0,0,1.0,0
60.0,1.0,19.0,1,1006.0,44.0,1.0,40.0,0,1.0,1
34.0,1.0,22.0,1,750.0,36.0,1.0,45.0,1,1.0,1
39.0,1.0,21.0,1,4120.0,34.0,0.0,40.0,1,1.0,0
38.0,1.0,16.0,0,310.0,206.0,13.0,42.0,1,6.0,0
63.0,1.0,19.0,0,5000.0,26.0,0.0,40.0,1,1.0,1
71.0,3.0,16.0,1,2012.0,44.0,1.0,40.0,1,1.0,1
37.0,1.0,21.0,1,110.0,44.0,1.0,40.0,0,1.0,1
42.0,2.0,24.0,1,230.0,363.0,1.0,40.0,0,8.0,0
20.0,1.0,19.0,0,4720.0,44.0,2.0,20.0,1,1.0,0
45.0,1.0,1.0,0,8225.0,329.0,0.0,40.0,1,9.0,0
36.0,1.0,19.0,1,1007.0,44.0,1.0,45.0,0,1.0,0
29.0,1.0,22.0,1,4810.0,36.0,1.0,40.0,0,2.0,0
46.0,5.0,19.0,0,5740.0,313.0,0.0,25.0,1,1.0,0
46.0,1.0,20.0,0,3255.0,25.0,0.0,45.0,1,1.0,1
60.0,5.0,23.0,0,1800.0,44.0,5.0,40.0,1,1.0,0
52.0,7.0,21.0,1,2600.0,26.0,1.0,30.0,1,1.0,1
22.0,1.0,19.0,0,4700.0,44.0,13.0,40.0,1,1.0,0
61.0,1.0,19.0,0,4020.0,44.0,0.0,40.0,0,1.0,0
31.0,1.0,18.0,0,6355.0,313.0,12.0,40.0,0,8.0,1
25.0,1.0,21.0,0,8225.0,218.0,0.0,50.0,1,1.0,1
40.0,4.0,22.0,1,3870.0,44.0,0.0,54.0,0,1.0,1
27.0,2.0,16.0,0,750.0,25.0,2.0,15.0,0,1.0,0
54.0,1.0,18.0,1,4760.0,44.0,0.0,50.0,1,1.0,0
26.0,1.0,16.0,0,440.0,36.0,0.0,43.0,1,1.0,0
27.0,1.0,17.0,0,3255.0,44.0,0.0,20.0,1,1.0,0
37.0,4.0,19.0,0,3802.0,25.0,13.0,40.0,1,1.0,1
30.0,1.0,16.0,1,5240.0,329.0,1.0,40.0,0,1.0,0
36.0,1.0,21.0,0,4810.0,19.0,0.0,45.0,0,1.0,1
58.0,1.0,13.0,1,4020.0,44.0,1.0,40.0,1,1.0,0
54.0,1.0,16.0,1,5610.0,44.0,1.0,32.0,1,1.0,0
