AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
29.0,1.0,19.0,1,7430.0,46.0,1.0,20.0,0,1.0,0
55.0,6.0,16.0,1,205.0,46.0,0.0,99.0,0,1.0,0
70.0,6.0,20.0,1,4600.0,46.0,0.0,50.0,1,1.0,0
26.0,1.0,21.0,0,710.0,27.0,0.0,40.0,1,1.0,1
61.0,1.0,21.0,0,6442.0,46.0,15.0,30.0,0,1.0,0
62.0,3.0,20.0,0,310.0,46.0,0.0,40.0,1,3.0,0
43.0,1.0,18.0,0,8990.0,46.0,0.0,48.0,1,1.0,1
56.0,2.0,19.0,1,5740.0,46.0,1.0,40.0,1,1.0,0
46.0,1.0,21.0,1,3255.0,46.0,0.0,30.0,1,1.0,0
41.0,3.0,17.0,0,4700.0,46.0,0.0,40.0,1,1.0,0
34.0,1.0,18.0,1,5720.0,233.0,1.0,40.0,1,6.0,0
64.0,2.0,18.0,1,9121.0,46.0,0.0,12.0,0,1.0,0
69.0,7.0,21.0,1,4920.0,38.0,0.0,20.0,0,1.0,1
28.0,1.0,21.0,1,910.0,46.0,0.0,40.0,0,1.0,0
59.0,1.0,22.0,0,6050.0,48.0,0.0,60.0,0,1.0,1
30.0,1.0,21.0,1,2634.0,46.0,1.0,40.0,1,1.0,0
49.0,1.0,20.0,1,4850.0,46.0,1.0,40.0,0,1.0,0
60.0,1.0,16.0,1,4700.0,46.0,1.0,40.0,0,1.0,0
49.0,1.0,20.0,1,4710.0,46.0,0.0,40.0,0,3.0,1
33.0,1.0,17.0,1,4252.0,46.0,0.0,40.0,0,1.0,0
52.0,3.0,22.0,0,230.0,46.0,0.0,45.0,1,3.0,1
34.0,1.0,20.0,1,3515.0,55.0,0.0,40.0,1,1.0,0
25.0,7.0,19.0,1,10.0,46.0,0.0,40.0,0,1.0,1
26.0,1.0,20.0,0,1010.0,46.0,12.0,40.0,1,1.0,0
61.0,1.0,19.0,1,440.0,46.0,0.0,50.0,0,1.0,1
54.0,3.0,16.0,0,6050.0,17.0,13.0,40.0,0,1.0,0
62.0,2.0,21.0,1,2310.0,46.0,0.0,40.0,1,1.0,0
36.0,6.0,20.0,1,205.0,46.0,0.0,60.0,0,1.0,0
37.0,1.0,20.0,1,4710.0,46.0,0.0,35.0,1,1.0,0
62.0,1.0,20.0,0,5240.0,46.0,0.0,2.0,1,1.0,1
59.0,6.0,18.0,1,4600.0,19.0,0.0,55.0,1,1.0,1
52.0,1.0,19.0,1,6050.0,46.0,1.0,30.0,0,1.0,1
54.0,1.0,16.0,1,6260.0,4.0,0.0,40.0,0,2.0,1
33.0,1.0,21.0,1,410.0,46.0,1.0,40.0,0,1.0,0
33.0,1.0,16.0,0,3603.0,46.0,2.0,36.0,1,1.0,0
49.0,1.0,16.0,1,4030.0,303.0,1.0,35.0,1,1.0,0
59.0,1.0,19.0,1,4810.0,46.0,0.0,40.0,1,1.0,0
23.0,2.0,19.0,1,3603.0,46.0,1.0,30.0,1,1.0,0
59.0,1.0,18.0,1,5000.0,46.0,1.0,42.0,1,1.0,1
45.0,1.0,19.0,1,4510.0,27.0,0.0,40.0,1,1.0,0
44.0,1.0,16.0,0,7810.0,46.0,13.0,36.0,0,3.0,0
57.0,1.0,21.0,1,5310.0,46.0,1.0,40.0,1,1.0,0
68.0,2.0,21.0,1,110.0,46.0,0.0,40.0,0,1.0,1
58.0,1.0,22.0,1,8800.0,46.0,0.0,40.0,0,1.0,0
64.0,1.0,16.0,1,3602.0,46.0,1.0,30.0,1,1.0,0
34.0,4.0,21.0,1,9030.0,38.0,0.0,40.0,0,1.0,1
30.0,3.0,22.0,1,2310.0,46.0,0.0,45.0,1,1.0,0
38.0,1.0,16.0,1,3648.0,46.0,0.0,45.0,1,1.0,0
30.0,1.0,20.0,1,3255.0,46.0,0.0,34.0,1,1.0,0
61.0,6.0,16.0,1,4600.0,46.0,1.0,50.0,1,1.0,0
