AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
24.0,1.0,21.0,1,2310.0,49.0,1.0,40.0,1,1.0,0
57.0,7.0,21.0,0,4230.0,48.0,0.0,30.0,1,1.0,0
39.0,1.0,22.0,1,630.0,9.0,1.0,45.0,1,1.0,1
25.0,1.0,16.0,1,5240.0,49.0,11.0,40.0,1,1.0,0
17.0,6.0,14.0,0,4230.0,49.0,2.0,4.0,1,9.0,0
61.0,1.0,21.0,1,1360.0,49.0,1.0,40.0,0,1.0,1
38.0,1.0,16.0,1,9130.0,49.0,0.0,50.0,0,1.0,1
37.0,1.0,20.0,1,800.0,41.0,0.0,12.0,1,1.0,0
39.0,1.0,18.0,1,220.0,49.0,1.0,50.0,0,1.0,0
49.0,4.0,21.0,1,5120.0,16.0,1.0,40.0,1,1.0,1
27.0,1.0,19.0,1,4700.0,49.0,1.0,55.0,0,1.0,1
57.0,2.0,20.0,1,3500.0,49.0,1.0,12.0,1,1.0,0
65.0,6.0,14.0,1,5740.0,13.0,0.0,5.0,0,1.0,0
67.0,6.0,21.0,1,2640.0,6.0,1.0,50.0,1,1.0,1
31.0,1.0,20.0,1,520.0,49.0,1.0,40.0,1,1.0,0
40.0,4.0,22.0,1,2320.0,49.0,1.0,36.0,0,1.0,1
26.0,4.0,19.0,0,2310.0,32.0,3.0,28.0,1,9.0,0
24.0,1.0,18.0,1,6260.0,49.0,9.0,40.0,0,1.0,0
43.0,1.0,17.0,1,5510.0,49.0,0.0,45.0,0,1.0,1
63.0,1.0,20.0,1,6355.0,49.0,0.0,40.0,0,1.0,1
26.0,1.0,16.0,0,230.0,49.0,7.0,37.0,1,1.0,0
38.0,1.0,17.0,1,4720.0,49.0,1.0,15.0,1,1.0,0
55.0,1.0,20.0,1,600.0,16.0,16.0,40.0,1,1.0,0
54.0,1.0,19.0,1,3603.0,370.0,6.0,40.0,1,1.0,0
58.0,1.0,21.0,1,8990.0,233.0,1.0,40.0,1,6.0,0
33.0,1.0,21.0,1,4760.0,6.0,0.0,40.0,0,1.0,1
33.0,1.0,19.0,1,6260.0,49.0,9.0,40.0,0,1.0,0
29.0,1.0,22.0,0,800.0,38.0,0.0,40.0,0,1.0,1
30.0,1.0,16.0,1,4010.0,49.0,0.0,50.0,1,1.0,0
51.0,7.0,16.0,1,2751.0,16.0,0.0,50.0,0,1.0,1
51.0,1.0,16.0,1,8990.0,6.0,0.0,40.0,1,1.0,0
38.0,1.0,19.0,1,7700.0,16.0,1.0,45.0,0,1.0,1
38.0,1.0,18.0,1,120.0,49.0,0.0,31.0,1,1.0,0
47.0,1.0,21.0,1,4850.0,110.0,0.0,40.0,0,1.0,1
61.0,1.0,20.0,1,7200.0,8.0,1.0,40.0,0,1.0,1
59.0,3.0,20.0,1,2545.0,49.0,1.0,19.0,1,1.0,0
19.0,1.0,19.0,0,4110.0,6.0,17.0,18.0,1,1.0,0
51.0,4.0,21.0,1,3820.0,24.0,0.0,44.0,0,1.0,1
69.0,1.0,20.0,0,4710.0,49.0,0.0,40.0,1,1.0,1
50.0,7.0,21.0,1,5860.0,48.0,1.0,50.0,1,1.0,1
34.0,7.0,20.0,1,140.0,49.0,0.0,55.0,0,1.0,1
38.0,1.0,21.0,1,4700.0,49.0,1.0,40.0,1,1.0,0
59.0,1.0,20.0,1,4720.0,207.0,6.0,40.0,0,6.0,0
59.0,3.0,17.0,1,440.0,8.0,0.0,40.0,1,1.0,1
59.0,1.0,16.0,1,9240.0,49.0,0.0,55.0,0,1.0,1
44.0,2.0,21.0,1,2310.0,6.0,0.0,24.0,1,1.0,0
47.0,1.0,17.0,1,4030.0,512.0,0.0,40.0,1,7.0,0
25.0,2.0,18.0,1,2360.0,215.0,17.0,19.0,0,6.0,0
49.0,4.0,21.0,1,5165.0,6.0,0.0,40.0,1,1.0,0
65.0,1.0,20.0,1,5630.0,30.0,0.0,55.0,0,1.0,1
55.0,1.0,19.0,1,4760.0,49.0,0.0,50.0,0,1.0,1
53.0,4.0,22.0,1,230.0,16.0,1.0,45.0,0,1.0,1
58.0,1.0,23.0,1,3255.0,53.0,1.0,35.0,0,1.0,0
31.0,1.0,20.0,1,5240.0,49.0,1.0,40.0,1,1.0,0
28.0,4.0,22.0,0,2006.0,49.0,0.0,30.0,0,7.0,1
26.0,1.0,21.0,1,440.0,15.0,1.0,40.0,0,7.0,1
41.0,1.0,21.0,1,2320.0,49.0,1.0,20.0,1,1.0,0
29.0,1.0,21.0,0,3300.0,48.0,0.0,40.0,0,1.0,1
21.0,1.0,19.0,0,9610.0,49.0,2.0,35.0,0,9.0,0
64.0,1.0,17.0,1,4760.0,36.0,1.0,40.0,1,1.0,0
29.0,5.0,18.0,1,9830.0,55.0,0.0,45.0,0,1.0,0
39.0,1.0,21.0,1,5740.0,45.0,0.0,3.0,1,1.0,1
35.0,1.0,16.0,1,5522.0,49.0,0.0,50.0,0,1.0,1
69.0,1.0,19.0,0,4720.0,49.0,0.0,36.0,1,1.0,0
73.0,3.0,21.0,1,5740.0,49.0,0.0,9.0,1,1.0,0
23.0,1.0,20.0,0,800.0,49.0,2.0,40.0,1,1.0,0
26.0,1.0,21.0,1,5120.0,48.0,1.0,25.0,0,1.0,0
81.0,1.0,18.0,1,4850.0,49.0,1.0,30.0,0,1.0,1
64.0,5.0,15.0,1,440.0,49.0,9.0,40.0,0,1.0,1
28.0,1.0,16.0,1,8990.0,56.0,1.0,60.0,1,1.0,0
38.0,1.0,22.0,1,350.0,48.0,0.0,65.0,0,1.0,1
51.0,5.0,19.0,1,350.0,56.0,0.0,40.0,1,1.0,1
60.0,1.0,16.0,0,6230.0,303.0,0.0,40.0,0,1.0,0
48.0,3.0,16.0,1,4220.0,42.0,0.0,24.0,0,1.0,0
54.0,1.0,16.0,1,6260.0,47.0,1.0,60.0,0,1.0,1
24.0,3.0,22.0,1,2721.0,27.0,1.0,40.0,0,1.0,0
50.0,1.0,19.0,0,6305.0,6.0,0.0,50.0,0,1.0,1
26.0,1.0,22.0,0,735.0,49.0,0.0,50.0,0,8.0,1
42.0,2.0,21.0,1,350.0,16.0,0.0,40.0,0,1.0,1
61.0,3.0,20.0,0,5120.0,49.0,0.0,80.0,1,3.0,1
41.0,3.0,23.0,1,2100.0,49.0,1.0,10.0,1,1.0,0
49.0,2.0,16.0,1,4140.0,16.0,1.0,40.0,1,1.0,0
44.0,1.0,21.0,1,4760.0,49.0,1.0,12.0,1,1.0,0
23.0,2.0,19.0,0,2360.0,26.0,12.0,35.0,1,1.0,0
53.0,1.0,19.0,1,4840.0,6.0,1.0,40.0,1,1.0,0
58.0,4.0,24.0,1,2100.0,6.0,0.0,50.0,0,1.0,1
47.0,6.0,16.0,1,4521.0,49.0,1.0,32.0,1,1.0,0
62.0,7.0,17.0,1,4700.0,314.0,1.0,60.0,1,9.0,0
55.0,1.0,22.0,1,120.0,49.0,0.0,45.0,0,1.0,1
44.0,1.0,22.0,1,440.0,49.0,0.0,40.0,0,1.0,1
35.0,1.0,19.0,1,4720.0,49.0,10.0,40.0,1,1.0,0
26.0,1.0,18.0,1,2145.0,49.0,0.0,40.0,1,1.0,0
22.0,1.0,19.0,0,1240.0,215.0,17.0,40.0,1,1.0,0
30.0,1.0,21.0,1,410.0,49.0,0.0,40.0,1,1.0,1
49.0,1.0,16.0,1,2600.0,49.0,1.0,45.0,0,1.0,1
49.0,6.0,21.0,1,3630.0,139.0,1.0,2.0,0,1.0,0
37.0,1.0,21.0,1,800.0,49.0,0.0,15.0,1,1.0,0
17.0,2.0,14.0,0,4435.0,49.0,2.0,10.0,0,1.0,0
79.0,6.0,24.0,1,2805.0,31.0,0.0,4.0,0,1.0,1
21.0,1.0,16.0,1,6230.0,49.0,9.0,35.0,0,1.0,1
41.0,6.0,21.0,1,1530.0,49.0,1.0,40.0,0,1.0,1
18.0,1.0,16.0,0,4020.0,49.0,2.0,30.0,1,1.0,0
49.0,3.0,19.0,1,5860.0,49.0,0.0,29.0,1,1.0,0
53.0,1.0,21.0,1,630.0,49.0,1.0,50.0,0,1.0,1
68.0,5.0,19.0,1,2555.0,49.0,1.0,40.0,1,1.0,1
60.0,5.0,19.0,1,5120.0,49.0,1.0,40.0,1,1.0,0
34.0,2.0,19.0,1,5110.0,49.0,0.0,40.0,1,1.0,0
55.0,1.0,16.0,1,440.0,49.0,0.0,40.0,1,1.0,0
25.0,5.0,18.0,1,9620.0,32.0,0.0,45.0,0,1.0,0
32.0,1.0,20.0,1,220.0,49.0,0.0,50.0,0,1.0,1
24.0,1.0,21.0,1,5740.0,49.0,1.0,35.0,1,1.0,0
55.0,1.0,20.0,1,6200.0,49.0,0.0,60.0,0,1.0,0
37.0,1.0,24.0,1,3050.0,49.0,1.0,52.0,0,1.0,1
30.0,1.0,21.0,0,1460.0,49.0,0.0,42.0,0,1.0,1
25.0,1.0,19.0,1,5240.0,49.0,9.0,40.0,0,1.0,0
49.0,1.0,19.0,1,3640.0,301.0,0.0,20.0,1,1.0,0
22.0,2.0,19.0,0,3930.0,6.0,0.0,30.0,1,1.0,0
37.0,1.0,20.0,1,5810.0,49.0,0.0,20.0,1,1.0,0
19.0,1.0,16.0,0,4110.0,217.0,13.0,38.0,1,6.0,0
33.0,1.0,24.0,0,3090.0,53.0,0.0,40.0,0,6.0,1
37.0,1.0,16.0,1,4760.0,49.0,0.0,40.0,1,1.0,0
38.0,1.0,19.0,1,2861.0,53.0,1.0,40.0,1,1.0,0
35.0,6.0,16.0,1,6230.0,313.0,1.0,50.0,0,8.0,0
49.0,1.0,16.0,1,5860.0,49.0,1.0,25.0,1,1.0,0
44.0,3.0,19.0,1,2545.0,49.0,0.0,8.0,1,1.0,0
19.0,1.0,19.0,0,7010.0,370.0,2.0,30.0,0,1.0,0
24.0,1.0,19.0,1,1430.0,49.0,0.0,38.0,0,1.0,0
60.0,1.0,21.0,1,4840.0,110.0,1.0,40.0,0,1.0,1
57.0,4.0,14.0,1,5240.0,36.0,0.0,20.0,1,1.0,0
29.0,2.0,19.0,1,7010.0,49.0,9.0,40.0,0,1.0,0
43.0,2.0,21.0,1,2360.0,247.0,1.0,20.0,1,6.0,0
30.0,1.0,16.0,1,4251.0,49.0,1.0,45.0,0,1.0,0
44.0,3.0,20.0,1,3940.0,49.0,1.0,6.0,1,1.0,0
31.0,1.0,19.0,1,6410.0,49.0,1.0,45.0,0,1.0,0
33.0,1.0,21.0,1,1010.0,49.0,0.0,45.0,0,1.0,1
35.0,1.0,20.0,1,3322.0,49.0,1.0,40.0,0,1.0,1
28.0,1.0,22.0,1,2310.0,215.0,1.0,30.0,1,9.0,0
29.0,1.0,18.0,1,4850.0,49.0,1.0,43.0,0,1.0,0
