AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
69.0,2.0,22.0,1,2320.0,9.0,0.0,20.0,1,1.0,0
35.0,3.0,19.0,1,4622.0,33.0,0.0,40.0,1,1.0,0
41.0,7.0,19.0,1,4700.0,50.0,1.0,45.0,1,1.0,0
74.0,1.0,16.0,1,9141.0,36.0,0.0,30.0,0,1.0,0
63.0,1.0,19.0,0,4030.0,50.0,0.0,30.0,1,1.0,0
50.0,7.0,16.0,1,4510.0,50.0,10.0,38.0,1,1.0,0
28.0,1.0,21.0,0,340.0,50.0,2.0,40.0,0,1.0,0
40.0,2.0,19.0,0,3500.0,33.0,13.0,36.0,1,1.0,0
39.0,2.0,16.0,1,5710.0,50.0,0.0,40.0,1,1.0,1
18.0,1.0,18.0,0,5740.0,9.0,17.0,8.0,1,1.0,0
36.0,2.0,22.0,0,6540.0,42.0,13.0,40.0,1,1.0,1
87.0,7.0,16.0,1,9620.0,50.0,0.0,40.0,0,1.0,0
56.0,1.0,16.0,1,5240.0,50.0,0.0,24.0,1,1.0,0
19.0,1.0,19.0,0,4720.0,50.0,2.0,15.0,1,1.0,0
54.0,6.0,22.0,0,420.0,34.0,13.0,20.0,0,1.0,0
41.0,2.0,16.0,0,5740.0,25.0,0.0,40.0,1,1.0,0
64.0,1.0,23.0,0,3250.0,39.0,0.0,30.0,1,1.0,1
60.0,1.0,16.0,1,7640.0,34.0,0.0,40.0,1,1.0,0
47.0,2.0,22.0,1,3245.0,25.0,0.0,50.0,1,1.0,0
43.0,1.0,21.0,1,3150.0,233.0,0.0,40.0,1,6.0,0
54.0,1.0,16.0,1,9130.0,50.0,15.0,50.0,0,1.0,0
31.0,2.0,22.0,0,2320.0,6.0,13.0,45.0,1,1.0,1
33.0,1.0,16.0,0,8030.0,50.0,2.0,40.0,0,1.0,0
63.0,6.0,22.0,0,2555.0,50.0,0.0,40.0,1,1.0,1
59.0,4.0,19.0,1,230.0,25.0,1.0,25.0,1,1.0,0
58.0,3.0,21.0,1,2310.0,50.0,0.0,55.0,1,1.0,1
20.0,4.0,19.0,0,5260.0,50.0,17.0,7.0,1,1.0,0
48.0,3.0,23.0,1,750.0,50.0,0.0,40.0,1,1.0,0
34.0,6.0,11.0,1,440.0,50.0,0.0,50.0,0,1.0,1
41.0,6.0,21.0,0,440.0,50.0,0.0,20.0,1,1.0,0
27.0,1.0,16.0,0,6050.0,50.0,13.0,45.0,0,1.0,0
52.0,1.0,19.0,1,9645.0,8.0,1.0,4.0,1,1.0,0
70.0,1.0,20.0,0,5120.0,17.0,6.0,32.0,1,1.0,0
33.0,1.0,16.0,1,4220.0,50.0,1.0,30.0,0,1.0,0
52.0,1.0,16.0,0,4760.0,50.0,0.0,40.0,1,1.0,1
27.0,1.0,16.0,0,3500.0,50.0,12.0,32.0,1,1.0,0
