AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
47.0,1.0,16.0,1,5860.0,54.0,1.0,24.0,1,1.0,0
62.0,2.0,16.0,1,2435.0,54.0,1.0,40.0,1,1.0,0
60.0,1.0,16.0,0,4720.0,54.0,0.0,35.0,1,1.0,0
47.0,4.0,22.0,1,705.0,24.0,0.0,40.0,1,1.0,1
32.0,4.0,23.0,0,5310.0,54.0,2.0,40.0,1,1.0,0
41.0,5.0,22.0,1,705.0,36.0,0.0,40.0,1,1.0,1
56.0,1.0,17.0,0,220.0,24.0,0.0,40.0,0,1.0,1
23.0,1.0,16.0,0,7010.0,54.0,2.0,40.0,0,1.0,0
40.0,4.0,16.0,1,9121.0,54.0,0.0,35.0,0,1.0,0
56.0,1.0,13.0,1,4120.0,54.0,1.0,40.0,1,1.0,0
56.0,3.0,19.0,1,440.0,54.0,0.0,40.0,1,1.0,0
28.0,1.0,16.0,1,4252.0,39.0,1.0,40.0,0,1.0,0
56.0,1.0,17.0,0,7315.0,6.0,0.0,38.0,0,1.0,0
59.0,1.0,16.0,1,6200.0,42.0,0.0,44.0,0,1.0,1
30.0,1.0,21.0,0,4700.0,54.0,13.0,44.0,0,1.0,1
47.0,3.0,21.0,1,3870.0,54.0,0.0,50.0,0,1.0,1
52.0,1.0,16.0,1,9600.0,42.0,1.0,40.0,0,1.0,0
63.0,1.0,21.0,1,940.0,54.0,0.0,25.0,1,1.0,0
32.0,1.0,22.0,0,2360.0,54.0,11.0,16.0,1,1.0,0
46.0,5.0,21.0,1,3700.0,54.0,1.0,40.0,1,1.0,1
32.0,1.0,21.0,0,8740.0,49.0,0.0,40.0,1,1.0,1
67.0,1.0,17.0,0,8800.0,42.0,5.0,35.0,1,1.0,0
48.0,4.0,21.0,1,3870.0,54.0,0.0,40.0,0,1.0,0
56.0,6.0,22.0,1,4900.0,12.0,1.0,20.0,1,1.0,0
48.0,2.0,21.0,1,630.0,215.0,0.0,40.0,1,1.0,0
35.0,1.0,16.0,0,7330.0,36.0,0.0,40.0,0,1.0,0
68.0,1.0,16.0,1,7700.0,54.0,1.0,40.0,0,1.0,1
25.0,1.0,16.0,0,6850.0,54.0,0.0,60.0,0,1.0,1
61.0,2.0,22.0,1,3030.0,55.0,0.0,37.0,1,1.0,1
60.0,7.0,19.0,0,4020.0,24.0,0.0,13.0,1,1.0,0
46.0,1.0,19.0,0,6260.0,54.0,13.0,40.0,0,1.0,0
53.0,4.0,22.0,1,2310.0,54.0,0.0,45.0,1,1.0,1
39.0,5.0,16.0,1,1860.0,54.0,7.0,40.0,1,1.0,1
40.0,1.0,23.0,1,3050.0,21.0,0.0,40.0,0,1.0,1
46.0,1.0,19.0,1,101.0,51.0,0.0,50.0,0,1.0,1
56.0,6.0,16.0,1,4700.0,54.0,1.0,12.0,1,1.0,0
68.0,2.0,21.0,1,2014.0,54.0,0.0,12.0,0,1.0,1
53.0,7.0,23.0,1,2100.0,54.0,1.0,60.0,0,1.0,1
64.0,1.0,19.0,1,440.0,54.0,1.0,40.0,0,1.0,1
48.0,1.0,20.0,1,8600.0,39.0,0.0,40.0,0,1.0,1
57.0,1.0,16.0,1,4760.0,54.0,1.0,40.0,0,1.0,0
79.0,1.0,12.0,1,4140.0,54.0,1.0,16.0,1,1.0,0
57.0,4.0,22.0,1,2310.0,54.0,1.0,40.0,1,1.0,1
56.0,8.0,16.0,1,4030.0,24.0,1.0,35.0,1,1.0,0
52.0,1.0,20.0,1,4220.0,54.0,0.0,40.0,0,1.0,1
