AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
61.0,6.0,21.0,0,2205.0,36.0,0.0,4.0,1,1.0,0
25.0,1.0,16.0,0,8225.0,9.0,2.0,45.0,0,1.0,0
39.0,2.0,24.0,0,2205.0,207.0,0.0,40.0,1,6.0,1
25.0,1.0,22.0,0,1530.0,51.0,0.0,65.0,0,1.0,1
29.0,1.0,19.0,0,2300.0,9.0,2.0,35.0,1,1.0,0
65.0,3.0,22.0,0,3720.0,36.0,11.0,45.0,0,1.0,1
54.0,6.0,16.0,1,4510.0,40.0,0.0,38.0,1,1.0,1
40.0,1.0,24.0,1,1240.0,154.0,1.0,40.0,0,1.0,1
36.0,2.0,16.0,0,4110.0,9.0,2.0,10.0,1,1.0,0
22.0,6.0,20.0,0,1530.0,362.0,2.0,40.0,1,1.0,0
51.0,1.0,17.0,1,9600.0,303.0,0.0,45.0,0,1.0,1
27.0,1.0,21.0,0,4600.0,128.0,15.0,40.0,1,1.0,0
62.0,1.0,23.0,1,2100.0,34.0,0.0,50.0,1,1.0,1
24.0,1.0,16.0,0,5240.0,9.0,2.0,35.0,0,2.0,0
55.0,1.0,16.0,0,120.0,9.0,0.0,40.0,1,1.0,1
49.0,1.0,16.0,1,5000.0,44.0,1.0,45.0,1,1.0,1
51.0,4.0,21.0,1,220.0,9.0,0.0,35.0,0,1.0,1
43.0,2.0,13.0,0,2014.0,72.0,0.0,40.0,1,1.0,0
48.0,1.0,16.0,1,8225.0,9.0,0.0,50.0,0,1.0,1
56.0,1.0,16.0,1,5740.0,9.0,0.0,40.0,1,1.0,1
31.0,1.0,16.0,0,4720.0,207.0,0.0,40.0,0,6.0,0
24.0,1.0,20.0,0,20.0,9.0,12.0,40.0,1,1.0,0
51.0,2.0,16.0,1,4640.0,9.0,1.0,75.0,0,9.0,1
20.0,1.0,16.0,0,9620.0,9.0,2.0,50.0,1,1.0,0
29.0,1.0,16.0,0,4700.0,9.0,2.0,40.0,0,8.0,0
37.0,1.0,16.0,1,3603.0,9.0,0.0,32.0,1,1.0,0
53.0,2.0,1.0,0,4251.0,9.0,17.0,25.0,0,1.0,0
35.0,6.0,16.0,1,2360.0,51.0,0.0,8.0,1,1.0,0
44.0,1.0,16.0,1,9620.0,72.0,0.0,40.0,0,9.0,0
33.0,1.0,16.0,1,7340.0,9.0,0.0,40.0,0,1.0,1
30.0,1.0,14.0,0,4700.0,9.0,13.0,45.0,1,1.0,0
56.0,4.0,16.0,1,6220.0,9.0,1.0,37.0,0,1.0,1
21.0,1.0,19.0,0,4720.0,9.0,2.0,40.0,0,1.0,0
21.0,1.0,19.0,0,4720.0,25.0,2.0,20.0,0,1.0,0
51.0,3.0,24.0,0,2310.0,333.0,0.0,4.0,1,2.0,0
63.0,1.0,16.0,1,5740.0,33.0,1.0,7.0,1,1.0,0
66.0,3.0,24.0,0,2310.0,9.0,0.0,6.0,1,1.0,0
47.0,1.0,21.0,1,860.0,9.0,1.0,40.0,1,1.0,1
45.0,1.0,16.0,1,7750.0,150.0,1.0,40.0,1,1.0,0
60.0,3.0,22.0,1,2320.0,9.0,1.0,20.0,1,1.0,1
52.0,6.0,16.0,1,4600.0,9.0,1.0,40.0,1,9.0,0
20.0,1.0,19.0,0,4760.0,9.0,2.0,25.0,1,1.0,0
71.0,1.0,20.0,1,440.0,9.0,0.0,36.0,1,1.0,0
24.0,3.0,16.0,0,4251.0,9.0,2.0,42.0,0,1.0,0
54.0,1.0,20.0,1,4000.0,9.0,1.0,50.0,0,1.0,0
53.0,1.0,21.0,1,40.0,36.0,1.0,40.0,1,1.0,0
28.0,1.0,20.0,0,1108.0,9.0,2.0,50.0,0,8.0,1
33.0,1.0,22.0,1,800.0,207.0,1.0,40.0,1,6.0,1
36.0,4.0,21.0,0,2005.0,36.0,0.0,40.0,1,1.0,1
75.0,6.0,23.0,0,2100.0,36.0,0.0,13.0,0,1.0,0
78.0,1.0,17.0,1,5860.0,9.0,0.0,40.0,1,1.0,1
36.0,1.0,21.0,0,630.0,9.0,13.0,40.0,1,8.0,1
21.0,1.0,19.0,0,4030.0,9.0,0.0,20.0,0,1.0,0
26.0,1.0,21.0,0,4710.0,44.0,0.0,30.0,1,1.0,0
60.0,1.0,21.0,1,860.0,9.0,0.0,50.0,1,1.0,1
47.0,1.0,16.0,1,4700.0,362.0,0.0,60.0,0,1.0,0
60.0,1.0,21.0,0,3255.0,217.0,0.0,40.0,1,6.0,1
28.0,1.0,17.0,0,8740.0,36.0,2.0,40.0,1,1.0,0
30.0,6.0,16.0,1,6260.0,12.0,1.0,40.0,0,2.0,0
47.0,1.0,20.0,1,3603.0,9.0,0.0,32.0,1,1.0,1
47.0,3.0,19.0,0,3870.0,72.0,0.0,38.0,1,1.0,1
32.0,7.0,16.0,1,220.0,362.0,0.0,40.0,0,6.0,0
30.0,2.0,22.0,1,630.0,25.0,1.0,40.0,1,1.0,1
64.0,1.0,16.0,0,4220.0,23.0,0.0,40.0,0,1.0,0
50.0,6.0,16.0,1,4230.0,362.0,1.0,20.0,1,6.0,0
50.0,1.0,16.0,1,120.0,9.0,1.0,40.0,1,1.0,0
24.0,5.0,21.0,0,1545.0,41.0,17.0,40.0,0,1.0,0
36.0,1.0,21.0,1,5740.0,9.0,0.0,38.0,1,1.0,1
44.0,4.0,23.0,1,2100.0,154.0,0.0,40.0,0,1.0,1
70.0,1.0,21.0,0,440.0,17.0,0.0,40.0,0,1.0,1
39.0,1.0,19.0,1,140.0,9.0,0.0,40.0,0,1.0,0
67.0,1.0,22.0,0,565.0,9.0,0.0,40.0,1,1.0,0
55.0,4.0,21.0,1,6660.0,9.0,1.0,35.0,0,1.0,1
67.0,1.0,19.0,1,5840.0,9.0,0.0,40.0,1,1.0,1
34.0,1.0,19.0,0,4330.0,373.0,0.0,40.0,0,6.0,0
49.0,1.0,16.0,0,8710.0,9.0,0.0,40.0,0,9.0,0
18.0,1.0,18.0,0,4760.0,44.0,2.0,30.0,1,1.0,0
19.0,2.0,19.0,0,5120.0,36.0,2.0,35.0,0,1.0,0
32.0,2.0,20.0,1,2300.0,9.0,1.0,40.0,1,1.0,0
60.0,1.0,16.0,1,2865.0,36.0,1.0,35.0,1,1.0,1
45.0,1.0,20.0,1,9150.0,42.0,1.0,40.0,1,1.0,0
36.0,1.0,20.0,0,3602.0,9.0,0.0,40.0,1,2.0,0
61.0,1.0,20.0,1,910.0,25.0,1.0,75.0,1,1.0,1
24.0,5.0,21.0,0,2360.0,9.0,2.0,20.0,1,1.0,0
44.0,1.0,20.0,1,3640.0,332.0,1.0,37.0,1,2.0,0
58.0,2.0,22.0,1,110.0,210.0,0.0,55.0,0,6.0,1
23.0,1.0,21.0,0,4760.0,36.0,2.0,15.0,0,1.0,0
64.0,1.0,22.0,1,3258.0,36.0,0.0,20.0,1,1.0,1
33.0,2.0,21.0,1,2320.0,9.0,1.0,40.0,1,1.0,0
58.0,6.0,22.0,0,2861.0,9.0,12.0,35.0,1,1.0,0
58.0,1.0,21.0,1,440.0,36.0,0.0,40.0,0,1.0,1
63.0,6.0,16.0,1,540.0,9.0,1.0,15.0,1,1.0,0
54.0,2.0,21.0,0,726.0,18.0,0.0,40.0,1,1.0,1
48.0,1.0,1.0,0,350.0,365.0,13.0,35.0,1,1.0,0
27.0,1.0,24.0,0,1970.0,209.0,0.0,50.0,1,6.0,0
64.0,1.0,22.0,0,5400.0,12.0,0.0,20.0,1,1.0,0
59.0,1.0,19.0,1,4220.0,370.0,1.0,35.0,1,8.0,0
66.0,3.0,22.0,1,2310.0,36.0,0.0,12.0,1,1.0,0
61.0,1.0,19.0,0,1555.0,9.0,0.0,70.0,0,1.0,0
