AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
17.0,1.0,16.0,0,4020.0,17.0,2.0,20.0,0,1.0,0
38.0,6.0,12.0,1,4600.0,303.0,1.0,6.0,1,1.0,0
54.0,4.0,19.0,1,350.0,17.0,0.0,40.0,1,1.0,0
50.0,6.0,20.0,0,4655.0,17.0,0.0,20.0,1,1.0,1
33.0,1.0,21.0,1,120.0,55.0,0.0,45.0,1,1.0,1
20.0,5.0,19.0,0,9830.0,17.0,17.0,30.0,0,2.0,0
18.0,1.0,16.0,0,4251.0,17.0,5.0,35.0,0,1.0,0
19.0,1.0,19.0,0,2640.0,17.0,17.0,12.0,1,1.0,0
40.0,1.0,16.0,0,4020.0,17.0,2.0,30.0,0,2.0,0
56.0,1.0,22.0,1,4850.0,17.0,0.0,40.0,0,1.0,1
58.0,1.0,16.0,1,8650.0,17.0,0.0,40.0,0,1.0,0
34.0,1.0,23.0,0,440.0,17.0,0.0,40.0,0,1.0,1
37.0,1.0,22.0,1,3258.0,8.0,0.0,40.0,1,1.0,1
19.0,1.0,16.0,0,4110.0,6.0,2.0,12.0,1,2.0,0
32.0,1.0,17.0,1,4510.0,316.0,1.0,20.0,1,1.0,0
54.0,6.0,20.0,1,6260.0,17.0,1.0,50.0,0,1.0,0
35.0,1.0,18.0,1,3603.0,17.0,0.0,40.0,1,1.0,0
52.0,6.0,23.0,1,3090.0,233.0,1.0,60.0,0,6.0,1
33.0,1.0,20.0,1,2300.0,17.0,0.0,28.0,1,1.0,0
25.0,1.0,16.0,1,5160.0,17.0,0.0,20.0,1,1.0,0
53.0,1.0,16.0,1,3602.0,17.0,1.0,32.0,1,1.0,0
24.0,4.0,16.0,1,5240.0,462.0,15.0,40.0,1,2.0,0
25.0,1.0,19.0,1,6305.0,17.0,0.0,40.0,0,8.0,1
29.0,1.0,16.0,1,9645.0,303.0,0.0,8.0,1,1.0,0
59.0,1.0,21.0,1,5120.0,27.0,1.0,38.0,1,1.0,0
49.0,1.0,9.0,1,8990.0,17.0,1.0,40.0,1,1.0,0
59.0,1.0,16.0,1,6200.0,17.0,1.0,50.0,0,1.0,1
62.0,1.0,16.0,1,5140.0,17.0,0.0,40.0,1,1.0,1
70.0,1.0,23.0,1,2100.0,26.0,0.0,25.0,0,1.0,1
31.0,1.0,21.0,0,51.0,9.0,13.0,40.0,1,1.0,1
28.0,1.0,20.0,0,2300.0,17.0,2.0,38.0,1,9.0,0
22.0,1.0,20.0,0,5740.0,17.0,13.0,40.0,1,1.0,0
42.0,1.0,21.0,1,1050.0,17.0,0.0,40.0,0,1.0,0
39.0,5.0,24.0,1,1825.0,373.0,1.0,45.0,1,1.0,1
56.0,1.0,20.0,1,8140.0,17.0,1.0,40.0,0,1.0,0
55.0,2.0,16.0,0,8990.0,17.0,17.0,9.0,1,1.0,0
50.0,1.0,16.0,0,8300.0,17.0,13.0,40.0,1,1.0,1
31.0,1.0,22.0,0,630.0,18.0,0.0,48.0,0,1.0,1
22.0,1.0,20.0,1,4030.0,18.0,1.0,18.0,1,1.0,0
45.0,1.0,19.0,0,9130.0,17.0,2.0,40.0,0,2.0,0
24.0,1.0,19.0,1,3421.0,164.0,1.0,40.0,1,1.0,0
25.0,1.0,16.0,0,5810.0,17.0,2.0,40.0,1,1.0,0
53.0,1.0,17.0,0,9600.0,17.0,0.0,65.0,0,1.0,0
54.0,1.0,19.0,0,7330.0,17.0,15.0,40.0,0,1.0,0
33.0,1.0,21.0,1,4700.0,17.0,1.0,50.0,1,1.0,0
64.0,2.0,22.0,1,2040.0,25.0,0.0,55.0,0,1.0,1
26.0,1.0,22.0,0,3230.0,27.0,0.0,38.0,1,1.0,0
18.0,1.0,14.0,0,9620.0,17.0,2.0,40.0,1,1.0,0
31.0,1.0,16.0,1,9645.0,501.0,0.0,40.0,0,1.0,0
46.0,1.0,22.0,1,845.0,17.0,0.0,40.0,1,1.0,1
27.0,4.0,21.0,1,6115.0,138.0,1.0,4.0,1,1.0,0
39.0,2.0,19.0,0,3603.0,17.0,7.0,40.0,0,1.0,0
50.0,1.0,17.0,0,1010.0,17.0,0.0,50.0,0,1.0,1
21.0,1.0,19.0,0,6410.0,17.0,2.0,40.0,1,1.0,0
39.0,2.0,21.0,0,3255.0,17.0,0.0,40.0,1,1.0,1
17.0,1.0,14.0,0,2722.0,17.0,7.0,15.0,1,1.0,0
36.0,1.0,16.0,1,9130.0,17.0,0.0,50.0,0,1.0,1
65.0,2.0,19.0,1,5740.0,9.0,0.0,20.0,1,1.0,0
32.0,1.0,13.0,0,9645.0,55.0,15.0,40.0,0,1.0,0
58.0,3.0,22.0,0,2310.0,17.0,13.0,55.0,0,1.0,1
17.0,1.0,14.0,0,4720.0,17.0,2.0,6.0,1,1.0,0
62.0,7.0,16.0,1,6230.0,17.0,1.0,40.0,0,1.0,1
28.0,1.0,21.0,1,51.0,17.0,1.0,40.0,1,1.0,0
57.0,1.0,18.0,1,6200.0,17.0,1.0,50.0,0,1.0,0
41.0,3.0,16.0,0,4220.0,17.0,0.0,40.0,0,1.0,0
41.0,1.0,21.0,1,530.0,17.0,1.0,50.0,1,1.0,0
49.0,1.0,19.0,0,5240.0,17.0,0.0,44.0,1,1.0,1
53.0,1.0,21.0,0,9620.0,17.0,2.0,30.0,0,1.0,0
17.0,1.0,14.0,0,8760.0,17.0,7.0,40.0,1,2.0,0
26.0,6.0,11.0,1,6050.0,17.0,0.0,50.0,0,1.0,0
46.0,1.0,21.0,1,120.0,17.0,0.0,60.0,0,2.0,1
55.0,3.0,19.0,1,3740.0,1.0,1.0,90.0,0,1.0,1
43.0,2.0,16.0,0,4840.0,303.0,2.0,36.0,1,1.0,0
21.0,1.0,20.0,0,4600.0,17.0,2.0,20.0,1,1.0,0
30.0,1.0,19.0,1,7750.0,29.0,1.0,48.0,1,1.0,0
45.0,1.0,22.0,1,52.0,39.0,0.0,60.0,0,1.0,1
52.0,2.0,19.0,0,51.0,17.0,0.0,45.0,1,1.0,1
28.0,1.0,21.0,1,810.0,42.0,0.0,40.0,0,1.0,0
27.0,1.0,22.0,0,4400.0,8.0,2.0,50.0,0,1.0,0
39.0,6.0,16.0,1,4600.0,17.0,0.0,50.0,1,1.0,0
46.0,3.0,21.0,1,2310.0,17.0,1.0,20.0,1,1.0,0
45.0,3.0,22.0,1,2310.0,17.0,1.0,35.0,1,1.0,1
17.0,3.0,16.0,0,3960.0,17.0,5.0,15.0,1,1.0,0
31.0,3.0,20.0,0,4200.0,17.0,0.0,45.0,0,1.0,0
26.0,1.0,16.0,1,9610.0,17.0,2.0,30.0,0,1.0,0
58.0,1.0,21.0,0,2330.0,17.0,0.0,39.0,1,1.0,1
26.0,1.0,22.0,0,350.0,36.0,0.0,45.0,1,1.0,0
46.0,1.0,19.0,0,9130.0,17.0,0.0,35.0,0,2.0,0
31.0,3.0,22.0,1,2310.0,19.0,1.0,50.0,1,1.0,1
33.0,6.0,21.0,1,1021.0,17.0,1.0,40.0,1,1.0,1
24.0,1.0,21.0,0,9620.0,17.0,2.0,12.0,0,1.0,0
62.0,1.0,16.0,1,6305.0,17.0,1.0,20.0,0,1.0,0
55.0,1.0,16.0,0,860.0,17.0,8.0,38.0,1,1.0,1
35.0,1.0,20.0,1,5120.0,17.0,1.0,25.0,1,1.0,0
24.0,1.0,21.0,0,3255.0,17.0,13.0,54.0,1,1.0,1
21.0,8.0,16.0,0,6950.0,17.0,7.0,20.0,0,1.0,0
33.0,1.0,20.0,0,3603.0,17.0,2.0,36.0,1,1.0,0
23.0,1.0,20.0,0,4720.0,17.0,2.0,35.0,0,1.0,0
30.0,3.0,21.0,0,2320.0,17.0,0.0,60.0,1,1.0,1
26.0,1.0,18.0,1,9130.0,17.0,1.0,70.0,0,1.0,0
40.0,1.0,22.0,1,10.0,17.0,10.0,45.0,1,1.0,1
53.0,1.0,21.0,1,7700.0,12.0,0.0,40.0,0,1.0,0
40.0,1.0,17.0,1,1050.0,327.0,1.0,40.0,0,1.0,1
36.0,1.0,21.0,1,4622.0,17.0,1.0,15.0,1,1.0,0
37.0,2.0,20.0,1,3255.0,17.0,0.0,36.0,1,1.0,1
63.0,6.0,17.0,1,3602.0,17.0,1.0,24.0,1,1.0,0
40.0,1.0,16.0,0,9600.0,17.0,0.0,40.0,1,1.0,0
48.0,1.0,23.0,1,2100.0,17.0,0.0,60.0,0,1.0,1
42.0,1.0,21.0,0,3255.0,17.0,0.0,40.0,1,1.0,1
49.0,1.0,17.0,1,6260.0,40.0,1.0,40.0,0,1.0,0
41.0,6.0,9.0,1,6330.0,303.0,1.0,40.0,0,1.0,0
43.0,5.0,19.0,1,5000.0,17.0,1.0,40.0,1,1.0,1
27.0,4.0,21.0,0,3802.0,17.0,13.0,38.0,1,1.0,1
29.0,6.0,19.0,1,3630.0,17.0,1.0,8.0,1,1.0,0
63.0,1.0,23.0,0,2100.0,17.0,0.0,30.0,1,1.0,0
50.0,1.0,21.0,1,735.0,26.0,0.0,60.0,0,1.0,1
34.0,6.0,15.0,0,4251.0,303.0,13.0,50.0,0,1.0,0
54.0,1.0,16.0,1,7640.0,17.0,0.0,40.0,0,1.0,0
47.0,1.0,18.0,0,3500.0,17.0,0.0,80.0,1,2.0,0
54.0,4.0,21.0,1,2310.0,55.0,0.0,50.0,1,1.0,1
19.0,1.0,16.0,0,5610.0,6.0,10.0,15.0,0,1.0,0
47.0,6.0,21.0,1,220.0,17.0,1.0,40.0,1,1.0,0
57.0,1.0,17.0,0,6230.0,17.0,0.0,40.0,0,1.0,0
67.0,6.0,21.0,0,8740.0,17.0,0.0,4.0,0,1.0,0
25.0,2.0,21.0,0,4600.0,17.0,12.0,37.0,1,9.0,0
53.0,1.0,16.0,1,4700.0,18.0,0.0,40.0,0,1.0,0
28.0,1.0,16.0,0,310.0,207.0,13.0,35.0,1,6.0,0
55.0,1.0,22.0,1,310.0,20.0,1.0,70.0,1,1.0,1
27.0,1.0,21.0,0,5240.0,17.0,2.0,40.0,1,1.0,0
30.0,3.0,19.0,0,9620.0,55.0,2.0,8.0,0,1.0,0
31.0,1.0,18.0,0,9620.0,303.0,0.0,48.0,0,1.0,0
46.0,1.0,18.0,0,350.0,5.0,0.0,20.0,1,1.0,0
25.0,1.0,19.0,0,6410.0,17.0,2.0,40.0,0,1.0,0
17.0,1.0,15.0,0,4435.0,17.0,2.0,25.0,0,1.0,0
47.0,1.0,19.0,1,8255.0,17.0,0.0,38.0,0,1.0,1
64.0,3.0,16.0,1,7000.0,17.0,1.0,40.0,0,1.0,1
18.0,1.0,14.0,0,4600.0,17.0,2.0,40.0,1,1.0,0
45.0,1.0,21.0,0,520.0,55.0,13.0,40.0,1,1.0,0
49.0,6.0,21.0,0,4920.0,28.0,13.0,40.0,0,1.0,0
17.0,1.0,13.0,0,6050.0,17.0,2.0,20.0,0,1.0,0
27.0,1.0,21.0,0,5940.0,17.0,2.0,40.0,0,1.0,0
51.0,1.0,21.0,1,52.0,17.0,0.0,75.0,0,1.0,1
67.0,1.0,16.0,0,5740.0,128.0,0.0,40.0,1,1.0,0
50.0,4.0,22.0,0,2205.0,17.0,0.0,37.0,1,2.0,1
44.0,1.0,22.0,0,845.0,17.0,15.0,75.0,1,1.0,1
62.0,3.0,21.0,1,565.0,17.0,0.0,40.0,0,1.0,1
62.0,7.0,20.0,1,4700.0,17.0,1.0,35.0,0,1.0,1
49.0,1.0,21.0,1,850.0,39.0,1.0,80.0,0,1.0,1
61.0,1.0,19.0,1,860.0,47.0,1.0,80.0,1,1.0,0
64.0,1.0,16.0,1,5000.0,17.0,0.0,40.0,1,1.0,0
24.0,3.0,21.0,0,2310.0,17.0,2.0,50.0,1,1.0,0
47.0,1.0,19.0,0,5610.0,42.0,0.0,40.0,0,1.0,0
31.0,1.0,21.0,0,1050.0,55.0,12.0,10.0,0,1.0,0
26.0,1.0,22.0,0,5120.0,17.0,2.0,40.0,1,1.0,0
63.0,1.0,19.0,1,9121.0,134.0,0.0,35.0,0,1.0,0
41.0,1.0,22.0,0,1430.0,164.0,0.0,50.0,0,1.0,1
47.0,1.0,21.0,1,5740.0,17.0,1.0,10.0,1,1.0,0
19.0,1.0,19.0,0,4020.0,17.0,2.0,32.0,1,1.0,0
56.0,1.0,19.0,0,8800.0,233.0,2.0,40.0,1,6.0,1
17.0,8.0,14.0,0,2360.0,17.0,2.0,2.0,1,1.0,0
57.0,4.0,22.0,1,2014.0,2.0,0.0,40.0,1,1.0,1
25.0,1.0,21.0,0,5740.0,17.0,0.0,32.0,1,1.0,0
34.0,1.0,16.0,1,4760.0,17.0,1.0,38.0,1,1.0,0
56.0,3.0,21.0,1,2861.0,17.0,1.0,35.0,1,1.0,0
28.0,1.0,19.0,1,4700.0,17.0,1.0,46.0,1,1.0,1
