AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
50.0,2.0,21.0,1,3230.0,31.0,0.0,35.0,1,1.0,0
87.0,6.0,16.0,1,4760.0,20.0,1.0,12.0,1,1.0,0
35.0,4.0,23.0,1,2100.0,20.0,1.0,50.0,1,1.0,1
25.0,1.0,17.0,1,3603.0,20.0,1.0,40.0,1,1.0,0
35.0,1.0,19.0,1,3645.0,20.0,1.0,40.0,1,1.0,0
20.0,1.0,16.0,0,3602.0,20.0,12.0,20.0,1,1.0,0
60.0,2.0,21.0,1,102.0,29.0,0.0,55.0,0,1.0,1
53.0,1.0,9.0,1,7810.0,23.0,0.0,40.0,0,1.0,1
44.0,1.0,21.0,0,4040.0,29.0,0.0,40.0,0,1.0,1
54.0,1.0,21.0,1,710.0,20.0,0.0,40.0,0,1.0,1
62.0,1.0,16.0,1,9645.0,20.0,0.0,42.0,0,1.0,1
39.0,1.0,16.0,1,102.0,48.0,0.0,45.0,0,1.0,1
30.0,6.0,21.0,1,2360.0,6.0,0.0,40.0,1,1.0,0
55.0,1.0,20.0,1,3255.0,20.0,0.0,40.0,1,1.0,1
40.0,1.0,21.0,1,205.0,19.0,1.0,40.0,1,1.0,0
48.0,1.0,20.0,0,6355.0,20.0,0.0,40.0,0,1.0,1
49.0,1.0,14.0,1,4020.0,20.0,0.0,40.0,1,1.0,0
55.0,1.0,21.0,0,3255.0,29.0,0.0,45.0,1,1.0,1
34.0,1.0,21.0,0,5240.0,20.0,0.0,39.0,1,1.0,0
49.0,1.0,20.0,1,9620.0,19.0,1.0,45.0,0,1.0,0
30.0,4.0,22.0,1,2310.0,31.0,1.0,40.0,1,1.0,0
70.0,6.0,16.0,1,205.0,20.0,0.0,20.0,0,1.0,0
36.0,1.0,16.0,1,8990.0,29.0,1.0,40.0,0,1.0,1
19.0,1.0,19.0,0,1545.0,20.0,2.0,40.0,1,1.0,0
46.0,3.0,16.0,0,2545.0,20.0,0.0,37.0,1,1.0,0
21.0,2.0,16.0,0,2545.0,20.0,15.0,40.0,0,1.0,0
63.0,5.0,19.0,0,3550.0,20.0,0.0,40.0,1,1.0,0
22.0,1.0,19.0,0,9610.0,42.0,0.0,40.0,0,1.0,0
