AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
55.0,1.0,21.0,1,860.0,22.0,1.0,40.0,1,2.0,0
36.0,1.0,19.0,1,9620.0,22.0,1.0,40.0,0,1.0,0
31.0,1.0,14.0,0,6520.0,22.0,13.0,40.0,0,1.0,0
68.0,3.0,20.0,0,800.0,22.0,0.0,37.0,1,1.0,1
41.0,1.0,1.0,1,4740.0,22.0,0.0,40.0,0,8.0,0
65.0,1.0,16.0,1,705.0,22.0,0.0,45.0,0,1.0,1
48.0,1.0,20.0,1,3603.0,6.0,0.0,40.0,1,2.0,0
33.0,1.0,21.0,0,4110.0,22.0,0.0,8.0,1,1.0,0
54.0,1.0,21.0,0,5000.0,22.0,0.0,72.0,0,1.0,0
63.0,1.0,20.0,1,420.0,22.0,1.0,45.0,1,1.0,1
62.0,1.0,18.0,1,7410.0,22.0,1.0,50.0,0,1.0,1
49.0,1.0,16.0,0,5860.0,22.0,0.0,40.0,1,2.0,0
57.0,1.0,1.0,1,6230.0,22.0,0.0,40.0,0,2.0,0
33.0,1.0,16.0,0,4020.0,22.0,0.0,40.0,0,2.0,0
31.0,1.0,17.0,0,4230.0,22.0,5.0,40.0,1,2.0,0
42.0,7.0,1.0,1,310.0,207.0,1.0,40.0,1,6.0,0
64.0,1.0,16.0,1,6260.0,22.0,0.0,3.0,0,1.0,0
28.0,1.0,20.0,0,4760.0,213.0,5.0,30.0,0,1.0,0
37.0,1.0,24.0,0,3050.0,22.0,0.0,40.0,1,2.0,1
45.0,7.0,19.0,0,710.0,28.0,0.0,60.0,0,1.0,0
24.0,5.0,18.0,0,7010.0,6.0,0.0,50.0,1,1.0,0
31.0,1.0,20.0,1,6355.0,22.0,0.0,40.0,0,1.0,1
31.0,1.0,16.0,0,4720.0,22.0,0.0,40.0,1,2.0,0
53.0,7.0,21.0,1,4710.0,22.0,0.0,40.0,0,1.0,1
43.0,1.0,21.0,1,600.0,22.0,1.0,40.0,0,1.0,1
53.0,1.0,19.0,1,7200.0,38.0,1.0,45.0,0,1.0,0
37.0,1.0,22.0,1,630.0,22.0,1.0,40.0,0,1.0,1
27.0,1.0,12.0,0,7810.0,22.0,2.0,40.0,0,1.0,0
42.0,7.0,16.0,1,4230.0,22.0,0.0,40.0,1,1.0,0
36.0,1.0,20.0,1,3424.0,22.0,1.0,25.0,1,1.0,0
56.0,1.0,21.0,1,1010.0,8.0,0.0,40.0,0,1.0,1
17.0,1.0,18.0,0,4055.0,29.0,17.0,20.0,1,1.0,0
36.0,1.0,21.0,1,4810.0,48.0,0.0,35.0,0,1.0,1
32.0,6.0,17.0,1,4230.0,22.0,9.0,36.0,1,1.0,0
39.0,1.0,20.0,1,1555.0,22.0,0.0,40.0,0,1.0,1
69.0,1.0,16.0,1,3423.0,22.0,0.0,12.0,1,2.0,0
24.0,2.0,19.0,1,3645.0,22.0,0.0,40.0,1,1.0,0
47.0,2.0,21.0,1,2040.0,22.0,0.0,40.0,0,1.0,0
75.0,3.0,22.0,1,3870.0,22.0,0.0,40.0,0,2.0,1
43.0,1.0,19.0,1,910.0,22.0,1.0,50.0,0,1.0,1
46.0,5.0,21.0,1,1360.0,139.0,1.0,40.0,0,1.0,1
34.0,7.0,16.0,0,3602.0,22.0,0.0,40.0,1,1.0,0
30.0,1.0,23.0,0,3090.0,22.0,13.0,60.0,0,1.0,0
30.0,1.0,21.0,0,3255.0,12.0,0.0,36.0,0,1.0,1
32.0,1.0,22.0,1,2310.0,22.0,0.0,40.0,1,1.0,0
27.0,1.0,17.0,0,4020.0,22.0,7.0,40.0,0,1.0,0
34.0,1.0,20.0,0,4522.0,22.0,0.0,25.0,1,1.0,0
45.0,1.0,9.0,0,6260.0,314.0,0.0,40.0,0,8.0,0
55.0,1.0,18.0,1,4220.0,5.0,1.0,45.0,0,1.0,1
47.0,6.0,20.0,1,2360.0,6.0,0.0,2.0,1,1.0,0
55.0,1.0,21.0,1,630.0,21.0,1.0,45.0,1,1.0,0
32.0,1.0,16.0,0,6260.0,313.0,10.0,48.0,0,8.0,0
42.0,1.0,16.0,0,4720.0,22.0,0.0,35.0,1,1.0,1
25.0,6.0,16.0,0,310.0,6.0,5.0,56.0,0,1.0,1
37.0,5.0,20.0,1,1050.0,22.0,0.0,40.0,1,2.0,0
57.0,2.0,12.0,0,8990.0,22.0,0.0,8.0,0,2.0,0
47.0,1.0,20.0,1,3421.0,247.0,0.0,40.0,1,6.0,0
42.0,1.0,21.0,1,705.0,24.0,0.0,40.0,0,1.0,1
61.0,1.0,16.0,0,6260.0,22.0,0.0,45.0,0,1.0,1
28.0,1.0,21.0,0,4600.0,22.0,2.0,60.0,1,2.0,0
66.0,1.0,21.0,1,1530.0,22.0,0.0,40.0,0,1.0,1
55.0,1.0,19.0,1,4810.0,22.0,0.0,40.0,1,1.0,1
23.0,1.0,19.0,0,4720.0,22.0,0.0,40.0,1,2.0,0
24.0,1.0,17.0,1,4110.0,22.0,0.0,35.0,1,1.0,0
65.0,4.0,21.0,0,2330.0,22.0,0.0,50.0,1,1.0,0
36.0,1.0,20.0,0,3255.0,27.0,0.0,40.0,1,2.0,1
28.0,3.0,16.0,1,3740.0,22.0,2.0,40.0,0,2.0,0
61.0,1.0,22.0,1,2310.0,48.0,1.0,40.0,1,1.0,0
28.0,1.0,21.0,1,1530.0,22.0,0.0,45.0,0,1.0,1
82.0,7.0,19.0,0,6230.0,1.0,0.0,40.0,0,1.0,0
32.0,1.0,21.0,1,4810.0,22.0,1.0,40.0,0,1.0,0
60.0,7.0,19.0,1,1545.0,22.0,0.0,40.0,0,1.0,0
31.0,1.0,17.0,0,1430.0,22.0,13.0,40.0,1,1.0,1
52.0,2.0,19.0,1,9645.0,22.0,1.0,40.0,1,1.0,0
64.0,1.0,16.0,0,2640.0,22.0,0.0,16.0,0,1.0,0
52.0,1.0,11.0,1,8300.0,22.0,0.0,32.0,0,2.0,0
27.0,1.0,21.0,0,2640.0,22.0,0.0,40.0,0,1.0,1
