AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
66.0,8.0,18.0,1,6050.0,38.0,1.0,40.0,0,1.0,1
44.0,1.0,18.0,1,5240.0,38.0,0.0,40.0,1,1.0,0
58.0,5.0,16.0,0,3500.0,38.0,0.0,40.0,1,1.0,0
20.0,1.0,16.0,0,7340.0,38.0,2.0,65.0,0,5.0,1
44.0,3.0,21.0,1,2310.0,38.0,1.0,40.0,0,1.0,1
31.0,1.0,20.0,0,530.0,38.0,0.0,48.0,0,1.0,1
53.0,3.0,21.0,0,6260.0,48.0,0.0,43.0,1,1.0,1
62.0,1.0,20.0,1,845.0,38.0,1.0,40.0,0,1.0,1
60.0,5.0,13.0,1,440.0,6.0,0.0,40.0,1,1.0,0
43.0,1.0,18.0,1,7700.0,38.0,0.0,50.0,0,1.0,1
33.0,1.0,14.0,1,4720.0,6.0,1.0,40.0,1,1.0,0
65.0,4.0,16.0,0,9121.0,38.0,0.0,15.0,1,1.0,0
49.0,1.0,20.0,0,6355.0,38.0,0.0,50.0,0,1.0,1
38.0,1.0,16.0,1,4220.0,6.0,0.0,40.0,0,1.0,0
28.0,2.0,20.0,1,2310.0,27.0,1.0,40.0,1,1.0,0
20.0,1.0,20.0,0,9620.0,17.0,0.0,35.0,0,1.0,0
70.0,1.0,18.0,1,4750.0,38.0,1.0,25.0,0,1.0,0
48.0,6.0,19.0,0,3602.0,38.0,0.0,8.0,1,1.0,0
32.0,7.0,23.0,1,2100.0,38.0,1.0,40.0,0,1.0,1
32.0,2.0,21.0,1,2320.0,38.0,1.0,40.0,0,1.0,0
30.0,1.0,21.0,1,5740.0,38.0,0.0,36.0,1,1.0,0
38.0,6.0,22.0,1,2040.0,38.0,1.0,40.0,1,1.0,1
45.0,1.0,16.0,1,6305.0,49.0,0.0,50.0,0,1.0,1
65.0,6.0,22.0,1,4600.0,39.0,1.0,40.0,1,1.0,0
42.0,1.0,20.0,1,6260.0,38.0,2.0,44.0,0,1.0,0
58.0,1.0,16.0,1,4760.0,38.0,0.0,55.0,0,1.0,1
32.0,1.0,16.0,1,20.0,38.0,1.0,40.0,0,1.0,1
43.0,7.0,24.0,1,3000.0,38.0,0.0,30.0,0,1.0,1
66.0,6.0,17.0,1,9130.0,46.0,0.0,1.0,0,1.0,0
47.0,1.0,21.0,0,440.0,27.0,0.0,48.0,0,1.0,1
61.0,1.0,16.0,1,8450.0,38.0,0.0,37.0,0,1.0,1
45.0,6.0,19.0,1,205.0,27.0,0.0,70.0,0,1.0,1
33.0,3.0,21.0,1,2320.0,38.0,0.0,40.0,1,1.0,1
17.0,1.0,13.0,0,6050.0,301.0,2.0,20.0,0,1.0,0
34.0,1.0,21.0,1,4850.0,38.0,0.0,50.0,0,1.0,1
60.0,1.0,16.0,1,4230.0,46.0,1.0,40.0,1,1.0,0
58.0,1.0,16.0,1,5240.0,38.0,0.0,40.0,0,1.0,1
60.0,3.0,20.0,1,4220.0,38.0,0.0,42.0,0,1.0,0
57.0,1.0,18.0,1,6441.0,51.0,1.0,50.0,0,1.0,1
46.0,5.0,21.0,0,2145.0,51.0,0.0,45.0,1,1.0,1
51.0,3.0,18.0,1,8620.0,30.0,1.0,40.0,0,1.0,0
29.0,2.0,21.0,1,3255.0,38.0,0.0,36.0,0,1.0,0
25.0,7.0,21.0,1,205.0,38.0,0.0,70.0,0,1.0,1
45.0,4.0,20.0,1,5740.0,38.0,0.0,40.0,1,1.0,0
29.0,1.0,16.0,0,7810.0,303.0,10.0,38.0,0,1.0,0
61.0,1.0,20.0,0,4055.0,38.0,0.0,35.0,1,1.0,0
32.0,3.0,22.0,1,440.0,27.0,0.0,45.0,1,1.0,0
74.0,1.0,21.0,1,2850.0,53.0,0.0,1.0,1,1.0,0
56.0,1.0,20.0,0,4020.0,6.0,0.0,40.0,0,1.0,0
78.0,1.0,21.0,1,9130.0,38.0,0.0,5.0,0,1.0,0
36.0,2.0,21.0,1,3255.0,27.0,0.0,28.0,1,1.0,0
30.0,4.0,21.0,1,2850.0,38.0,1.0,40.0,1,1.0,0
59.0,1.0,19.0,1,4255.0,49.0,1.0,60.0,0,1.0,0
58.0,1.0,20.0,1,1555.0,19.0,0.0,40.0,0,1.0,1
29.0,6.0,17.0,1,4230.0,29.0,1.0,20.0,1,1.0,0
43.0,6.0,21.0,1,205.0,38.0,1.0,40.0,0,1.0,1
28.0,1.0,20.0,0,5860.0,30.0,0.0,40.0,1,1.0,0
53.0,1.0,18.0,1,4700.0,6.0,0.0,48.0,0,1.0,1
28.0,1.0,21.0,1,7810.0,414.0,1.0,40.0,0,1.0,0
67.0,4.0,16.0,1,2545.0,38.0,15.0,40.0,1,1.0,0
52.0,5.0,21.0,1,3255.0,38.0,1.0,40.0,1,1.0,1
56.0,1.0,20.0,1,4710.0,38.0,0.0,65.0,0,1.0,1
60.0,2.0,16.0,1,4020.0,38.0,1.0,35.0,1,1.0,0
37.0,6.0,16.0,1,205.0,38.0,0.0,90.0,0,1.0,0
50.0,6.0,20.0,1,205.0,38.0,0.0,50.0,0,1.0,0
52.0,3.0,23.0,1,2145.0,38.0,0.0,40.0,1,3.0,1
60.0,1.0,19.0,1,4760.0,46.0,0.0,59.0,0,1.0,1
41.0,1.0,20.0,1,3310.0,38.0,0.0,38.0,1,1.0,1
45.0,1.0,20.0,1,3255.0,38.0,0.0,60.0,0,1.0,0
59.0,1.0,18.0,1,9130.0,53.0,0.0,60.0,0,1.0,1
55.0,4.0,20.0,1,5220.0,27.0,0.0,45.0,1,1.0,1
56.0,1.0,21.0,1,600.0,38.0,0.0,45.0,0,1.0,0
51.0,4.0,20.0,1,5740.0,38.0,1.0,40.0,1,1.0,1
29.0,2.0,24.0,1,3258.0,38.0,0.0,60.0,1,1.0,1
60.0,1.0,16.0,1,4760.0,38.0,1.0,1.0,1,1.0,0
41.0,2.0,21.0,1,3255.0,41.0,0.0,40.0,1,1.0,0
59.0,8.0,16.0,1,5860.0,38.0,0.0,5.0,1,1.0,0
