AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
76.0,7.0,22.0,1,2555.0,25.0,1.0,10.0,0,1.0,0
25.0,1.0,21.0,0,4020.0,23.0,0.0,48.0,0,1.0,0
67.0,1.0,21.0,1,150.0,47.0,0.0,42.0,0,1.0,1
45.0,5.0,22.0,1,3258.0,27.0,1.0,40.0,1,1.0,1
37.0,3.0,24.0,1,1822.0,207.0,1.0,40.0,1,1.0,0
34.0,7.0,21.0,1,2910.0,33.0,1.0,25.0,1,1.0,0
31.0,1.0,19.0,0,7330.0,39.0,13.0,45.0,0,1.0,1
60.0,1.0,22.0,1,300.0,42.0,0.0,55.0,0,1.0,1
65.0,1.0,21.0,1,850.0,17.0,1.0,1.0,0,1.0,1
41.0,1.0,20.0,1,5240.0,25.0,1.0,38.0,1,1.0,1
38.0,1.0,16.0,1,9130.0,50.0,1.0,40.0,1,1.0,1
37.0,3.0,22.0,1,2310.0,25.0,1.0,35.0,1,1.0,1
34.0,6.0,22.0,1,2004.0,25.0,0.0,20.0,1,1.0,0
63.0,3.0,22.0,1,10.0,36.0,1.0,70.0,0,1.0,1
57.0,2.0,21.0,1,110.0,316.0,0.0,60.0,0,1.0,1
61.0,2.0,23.0,1,3090.0,36.0,0.0,48.0,0,1.0,1
20.0,1.0,19.0,0,4760.0,33.0,2.0,20.0,0,1.0,0
30.0,1.0,21.0,1,2310.0,33.0,1.0,40.0,1,1.0,0
70.0,6.0,22.0,1,850.0,25.0,1.0,30.0,0,1.0,1
28.0,1.0,16.0,1,3500.0,333.0,1.0,35.0,1,2.0,0
24.0,1.0,19.0,0,5350.0,33.0,15.0,50.0,0,1.0,0
43.0,5.0,21.0,1,5550.0,37.0,0.0,42.0,0,1.0,0
37.0,1.0,21.0,1,6260.0,25.0,0.0,40.0,1,1.0,0
53.0,4.0,16.0,1,4220.0,33.0,0.0,40.0,0,1.0,0
33.0,1.0,22.0,1,2330.0,4.0,1.0,40.0,0,1.0,0
56.0,1.0,21.0,1,4820.0,9.0,1.0,50.0,0,1.0,1
55.0,6.0,24.0,1,1825.0,6.0,1.0,10.0,1,1.0,0
63.0,1.0,16.0,1,20.0,6.0,0.0,50.0,0,1.0,1
18.0,1.0,16.0,0,6260.0,25.0,17.0,40.0,0,1.0,0
70.0,2.0,20.0,0,1050.0,33.0,0.0,40.0,0,1.0,1
44.0,2.0,21.0,1,726.0,51.0,1.0,32.0,0,1.0,1
34.0,1.0,16.0,1,5740.0,25.0,1.0,40.0,1,1.0,0
54.0,1.0,24.0,0,2100.0,31.0,0.0,40.0,0,1.0,1
34.0,1.0,17.0,1,4760.0,210.0,1.0,20.0,1,6.0,0
53.0,6.0,16.0,1,9141.0,25.0,1.0,40.0,0,9.0,0
48.0,1.0,16.0,0,7420.0,25.0,13.0,40.0,1,1.0,1
30.0,1.0,14.0,1,7200.0,39.0,16.0,52.0,0,2.0,0
59.0,5.0,19.0,1,5550.0,26.0,0.0,50.0,1,1.0,1
56.0,4.0,19.0,1,750.0,25.0,1.0,40.0,1,1.0,0
52.0,1.0,16.0,0,7220.0,25.0,0.0,45.0,0,1.0,1
59.0,2.0,21.0,0,3255.0,25.0,0.0,40.0,1,1.0,1
19.0,2.0,19.0,0,1970.0,117.0,17.0,7.0,1,1.0,0
49.0,1.0,19.0,1,9645.0,6.0,1.0,40.0,0,1.0,0
54.0,6.0,16.0,1,7200.0,33.0,1.0,55.0,0,1.0,0
60.0,3.0,16.0,1,6660.0,23.0,0.0,40.0,0,1.0,1
57.0,1.0,20.0,1,3255.0,36.0,0.0,40.0,0,2.0,1
45.0,1.0,21.0,0,8990.0,33.0,2.0,40.0,0,1.0,0
29.0,1.0,21.0,1,1430.0,12.0,0.0,40.0,0,1.0,1
57.0,3.0,16.0,1,440.0,50.0,0.0,40.0,0,1.0,0
40.0,2.0,21.0,1,800.0,33.0,0.0,45.0,1,1.0,1
34.0,2.0,22.0,0,230.0,4.0,0.0,60.0,0,9.0,1
