AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
60.0,6.0,19.0,1,4210.0,48.0,0.0,30.0,0,1.0,1
54.0,6.0,19.0,0,4850.0,303.0,0.0,40.0,0,1.0,0
41.0,1.0,19.0,0,4720.0,48.0,0.0,30.0,1,2.0,0
35.0,1.0,20.0,1,750.0,21.0,1.0,40.0,0,1.0,1
58.0,3.0,22.0,1,2310.0,210.0,0.0,20.0,1,6.0,0
59.0,3.0,17.0,1,2545.0,48.0,1.0,40.0,1,1.0,1
56.0,1.0,19.0,0,5850.0,48.0,0.0,40.0,0,1.0,0
20.0,1.0,13.0,0,6410.0,48.0,2.0,40.0,0,1.0,0
55.0,4.0,21.0,0,2310.0,48.0,0.0,40.0,1,1.0,1
24.0,1.0,16.0,0,4700.0,48.0,2.0,36.0,0,2.0,0
44.0,1.0,17.0,1,3603.0,48.0,1.0,10.0,1,1.0,0
59.0,6.0,19.0,0,4600.0,48.0,0.0,20.0,1,2.0,0
31.0,2.0,22.0,0,2006.0,48.0,0.0,45.0,1,8.0,1
42.0,3.0,21.0,1,2320.0,48.0,1.0,45.0,0,1.0,0
44.0,1.0,16.0,1,5040.0,303.0,9.0,40.0,1,8.0,0
32.0,6.0,16.0,0,6250.0,48.0,5.0,30.0,0,1.0,0
23.0,1.0,20.0,0,7220.0,48.0,5.0,40.0,0,6.0,0
60.0,1.0,18.0,1,6305.0,35.0,0.0,60.0,0,1.0,0
68.0,1.0,16.0,1,5740.0,48.0,1.0,99.0,1,1.0,0
27.0,1.0,21.0,0,120.0,33.0,0.0,40.0,0,1.0,0
45.0,1.0,19.0,1,4710.0,48.0,1.0,40.0,1,1.0,1
47.0,3.0,3.0,1,8800.0,303.0,1.0,40.0,1,5.0,0
41.0,1.0,20.0,0,520.0,48.0,0.0,40.0,0,8.0,1
43.0,1.0,20.0,1,5510.0,48.0,0.0,8.0,0,2.0,0
22.0,1.0,21.0,0,9350.0,22.0,0.0,35.0,0,1.0,0
60.0,1.0,21.0,0,1006.0,48.0,0.0,40.0,1,1.0,1
72.0,5.0,19.0,0,2145.0,48.0,0.0,50.0,1,1.0,1
60.0,1.0,16.0,1,8990.0,48.0,0.0,40.0,0,1.0,1
28.0,1.0,21.0,0,4720.0,12.0,0.0,40.0,1,9.0,0
37.0,1.0,18.0,0,4110.0,48.0,2.0,35.0,0,1.0,0
51.0,1.0,16.0,1,7330.0,48.0,0.0,40.0,0,1.0,0
65.0,1.0,16.0,1,6230.0,48.0,0.0,30.0,1,1.0,0
19.0,1.0,18.0,0,4055.0,48.0,17.0,20.0,0,1.0,0
58.0,3.0,21.0,1,5740.0,48.0,0.0,45.0,1,1.0,0
52.0,1.0,9.0,1,4010.0,303.0,0.0,40.0,1,1.0,0
66.0,6.0,19.0,1,5120.0,12.0,0.0,40.0,1,1.0,0
32.0,1.0,19.0,0,7040.0,48.0,2.0,25.0,0,1.0,0
34.0,1.0,13.0,1,4251.0,28.0,16.0,40.0,0,1.0,0
60.0,1.0,16.0,1,6260.0,303.0,0.0,32.0,0,1.0,0
47.0,1.0,12.0,0,3602.0,48.0,0.0,40.0,1,1.0,0
58.0,6.0,9.0,1,6260.0,303.0,6.0,40.0,0,1.0,0
48.0,1.0,16.0,1,8800.0,36.0,1.0,48.0,1,1.0,0
30.0,1.0,14.0,0,6260.0,48.0,0.0,60.0,0,1.0,0
31.0,1.0,16.0,1,4700.0,48.0,0.0,30.0,1,1.0,0
39.0,1.0,20.0,1,7000.0,48.0,0.0,60.0,0,1.0,1
36.0,4.0,21.0,0,5940.0,48.0,0.0,40.0,1,1.0,1
57.0,4.0,21.0,1,1006.0,48.0,0.0,40.0,0,1.0,1
62.0,1.0,16.0,0,940.0,48.0,0.0,30.0,1,2.0,0
36.0,1.0,21.0,0,2310.0,48.0,2.0,40.0,1,1.0,0
55.0,6.0,21.0,1,120.0,48.0,1.0,75.0,0,1.0,1
53.0,6.0,19.0,1,4522.0,27.0,1.0,35.0,1,1.0,0
52.0,1.0,20.0,1,7200.0,48.0,1.0,40.0,0,1.0,0
40.0,1.0,16.0,0,5400.0,48.0,0.0,40.0,1,1.0,0
53.0,3.0,21.0,1,2310.0,48.0,1.0,50.0,1,1.0,1
52.0,1.0,19.0,0,440.0,48.0,0.0,40.0,0,1.0,1
19.0,1.0,19.0,0,5240.0,6.0,17.0,20.0,0,6.0,0
57.0,6.0,16.0,1,6230.0,6.0,1.0,20.0,0,1.0,0
51.0,1.0,16.0,1,5000.0,212.0,0.0,65.0,0,1.0,1
60.0,1.0,21.0,0,9130.0,303.0,0.0,45.0,0,1.0,0
49.0,1.0,19.0,0,5510.0,17.0,0.0,40.0,1,1.0,1
39.0,1.0,15.0,1,6260.0,48.0,1.0,25.0,0,1.0,0
37.0,4.0,22.0,0,2002.0,429.0,0.0,42.0,1,2.0,1
34.0,1.0,23.0,1,3010.0,40.0,1.0,40.0,1,9.0,1
35.0,1.0,19.0,1,410.0,48.0,0.0,40.0,1,1.0,0
48.0,2.0,21.0,1,2310.0,48.0,0.0,40.0,1,1.0,0
62.0,1.0,16.0,1,4760.0,48.0,0.0,24.0,1,1.0,1
42.0,6.0,19.0,1,6230.0,56.0,1.0,40.0,0,1.0,0
50.0,1.0,21.0,0,440.0,53.0,0.0,40.0,1,1.0,1
35.0,1.0,24.0,1,1750.0,210.0,1.0,40.0,0,6.0,1
67.0,6.0,16.0,1,4251.0,8.0,0.0,6.0,0,1.0,0
54.0,1.0,21.0,1,1400.0,48.0,0.0,42.0,0,1.0,1
