AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
68.0,3.0,19.0,0,3545.0,30.0,0.0,40.0,1,1.0,0
50.0,6.0,11.0,1,3602.0,18.0,1.0,30.0,1,1.0,0
47.0,1.0,14.0,0,410.0,19.0,16.0,30.0,0,1.0,0
48.0,1.0,16.0,1,9620.0,8.0,0.0,26.0,1,1.0,0
33.0,6.0,21.0,1,4760.0,53.0,0.0,20.0,1,1.0,0
66.0,6.0,19.0,1,810.0,18.0,0.0,50.0,0,1.0,1
78.0,4.0,21.0,1,9122.0,56.0,1.0,18.0,0,1.0,1
73.0,1.0,21.0,1,10.0,25.0,0.0,50.0,0,1.0,1
47.0,1.0,21.0,1,9210.0,56.0,0.0,40.0,0,1.0,1
19.0,1.0,19.0,0,2350.0,31.0,17.0,8.0,1,1.0,0
41.0,1.0,19.0,1,10.0,27.0,0.0,40.0,0,1.0,1
30.0,1.0,20.0,0,9130.0,56.0,12.0,30.0,1,1.0,0
34.0,1.0,16.0,1,3323.0,36.0,9.0,40.0,1,1.0,1
60.0,1.0,16.0,1,5160.0,8.0,1.0,40.0,1,1.0,0
17.0,1.0,14.0,0,4110.0,56.0,2.0,30.0,1,1.0,0
60.0,1.0,16.0,1,6950.0,46.0,1.0,40.0,0,1.0,1
24.0,1.0,19.0,0,2145.0,6.0,12.0,35.0,1,1.0,0
63.0,6.0,16.0,1,4350.0,56.0,0.0,80.0,0,1.0,1
71.0,1.0,18.0,1,5740.0,20.0,1.0,40.0,1,1.0,0
35.0,5.0,16.0,1,3930.0,25.0,0.0,50.0,1,1.0,0
31.0,1.0,16.0,1,20.0,53.0,1.0,45.0,1,1.0,0
22.0,1.0,19.0,0,3640.0,303.0,0.0,24.0,1,1.0,0
23.0,1.0,16.0,1,7340.0,49.0,0.0,60.0,0,1.0,1
30.0,1.0,16.0,1,310.0,56.0,0.0,50.0,1,1.0,0
62.0,7.0,23.0,0,3090.0,36.0,0.0,80.0,0,1.0,1
74.0,4.0,24.0,0,2205.0,20.0,0.0,60.0,0,1.0,1
55.0,1.0,16.0,1,4850.0,38.0,0.0,40.0,0,1.0,0
31.0,3.0,21.0,1,2310.0,30.0,0.0,45.0,1,1.0,0
32.0,1.0,20.0,0,4700.0,56.0,12.0,75.0,0,1.0,0
61.0,4.0,21.0,1,2006.0,20.0,1.0,45.0,1,1.0,0
61.0,5.0,19.0,0,410.0,56.0,0.0,40.0,1,3.0,1
80.0,7.0,21.0,1,205.0,56.0,1.0,10.0,0,1.0,1
23.0,1.0,18.0,0,6260.0,24.0,16.0,45.0,0,1.0,0
30.0,1.0,16.0,1,4020.0,303.0,1.0,30.0,0,8.0,0
56.0,7.0,21.0,1,5860.0,6.0,0.0,45.0,0,1.0,1
27.0,1.0,21.0,1,10.0,56.0,0.0,45.0,1,1.0,1
67.0,3.0,20.0,1,9122.0,38.0,0.0,24.0,0,1.0,0
59.0,3.0,19.0,1,2722.0,30.0,0.0,6.0,1,1.0,0
67.0,4.0,22.0,1,4700.0,36.0,0.0,40.0,1,1.0,0
66.0,6.0,16.0,1,4210.0,30.0,1.0,40.0,0,1.0,0
36.0,5.0,21.0,1,9830.0,17.0,0.0,40.0,0,1.0,1
70.0,3.0,22.0,1,2310.0,28.0,1.0,30.0,1,1.0,0
49.0,1.0,20.0,1,1050.0,56.0,0.0,40.0,0,1.0,1
65.0,1.0,18.0,1,9130.0,6.0,1.0,60.0,0,1.0,1
65.0,3.0,19.0,1,440.0,48.0,1.0,40.0,1,1.0,1
54.0,7.0,15.0,1,8740.0,8.0,0.0,60.0,0,1.0,1
57.0,1.0,16.0,1,5400.0,16.0,1.0,38.0,1,1.0,0
54.0,1.0,19.0,1,7700.0,46.0,0.0,48.0,0,1.0,1
75.0,6.0,19.0,1,4920.0,31.0,0.0,50.0,0,1.0,1
60.0,4.0,19.0,0,2205.0,20.0,0.0,40.0,0,1.0,1
69.0,1.0,16.0,0,310.0,21.0,0.0,70.0,1,1.0,1
55.0,1.0,16.0,1,4760.0,56.0,1.0,35.0,1,1.0,0
37.0,4.0,22.0,1,230.0,8.0,1.0,40.0,0,1.0,1
26.0,3.0,16.0,1,4020.0,56.0,0.0,40.0,0,3.0,0
56.0,1.0,16.0,1,9130.0,49.0,1.0,40.0,0,1.0,1
38.0,6.0,16.0,1,6260.0,31.0,0.0,30.0,0,1.0,0
44.0,2.0,20.0,1,5740.0,26.0,1.0,40.0,1,1.0,0
49.0,1.0,16.0,1,6260.0,53.0,1.0,70.0,0,1.0,0
64.0,3.0,22.0,1,230.0,36.0,1.0,36.0,0,1.0,1
22.0,1.0,21.0,1,6050.0,56.0,1.0,40.0,1,1.0,0
24.0,1.0,19.0,0,7200.0,56.0,0.0,74.0,0,1.0,1
60.0,1.0,19.0,0,8140.0,26.0,0.0,50.0,0,1.0,1
33.0,1.0,16.0,1,9130.0,29.0,0.0,40.0,0,1.0,1
62.0,1.0,20.0,1,2310.0,313.0,1.0,38.0,1,1.0,0
36.0,1.0,20.0,1,3255.0,56.0,1.0,40.0,1,1.0,1
55.0,3.0,21.0,1,1980.0,56.0,0.0,40.0,0,1.0,0
60.0,3.0,16.0,1,5350.0,56.0,1.0,40.0,1,1.0,0
37.0,1.0,19.0,1,4720.0,56.0,1.0,40.0,1,1.0,0
81.0,6.0,19.0,1,310.0,56.0,0.0,50.0,0,1.0,0
37.0,1.0,21.0,1,2631.0,26.0,1.0,40.0,0,1.0,0
39.0,1.0,16.0,1,6200.0,303.0,0.0,40.0,0,8.0,0
50.0,3.0,22.0,1,2330.0,40.0,1.0,40.0,1,1.0,0
70.0,6.0,21.0,0,4600.0,17.0,0.0,36.0,1,1.0,0
55.0,6.0,19.0,1,6260.0,56.0,0.0,40.0,0,1.0,0
21.0,3.0,16.0,0,3802.0,56.0,2.0,40.0,0,3.0,0
17.0,3.0,14.0,0,3430.0,56.0,2.0,18.0,1,1.0,0
60.0,6.0,22.0,1,10.0,211.0,1.0,40.0,1,1.0,1
41.0,1.0,19.0,1,3603.0,41.0,1.0,40.0,1,1.0,0
56.0,1.0,17.0,1,5220.0,31.0,1.0,10.0,1,1.0,0
53.0,1.0,19.0,1,20.0,31.0,0.0,77.0,0,1.0,0
56.0,5.0,17.0,1,7000.0,56.0,1.0,40.0,0,1.0,0
50.0,2.0,16.0,1,9121.0,56.0,0.0,40.0,1,1.0,0
