AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,>50K
26.0,1.0,18.0,1,4220.0,12.0,0.0,25.0,1,1.0,0
49.0,4.0,21.0,1,1420.0,12.0,0.0,55.0,0,1.0,1
59.0,4.0,23.0,0,2205.0,323.0,0.0,38.0,1,1.0,1
28.0,1.0,19.0,1,5522.0,327.0,0.0,55.0,0,1.0,0
20.0,1.0,16.0,1,4940.0,12.0,2.0,25.0,1,1.0,0
59.0,1.0,20.0,1,1010.0,51.0,1.0,40.0,1,1.0,1
18.0,1.0,16.0,0,5240.0,233.0,2.0,18.0,0,6.0,0
34.0,1.0,21.0,0,4965.0,23.0,0.0,55.0,1,1.0,1
78.0,1.0,22.0,1,4700.0,12.0,1.0,40.0,1,1.0,1
54.0,1.0,16.0,0,5240.0,36.0,13.0,40.0,1,1.0,0
35.0,1.0,22.0,1,3645.0,327.0,1.0,40.0,1,1.0,0
24.0,1.0,16.0,0,4710.0,12.0,0.0,40.0,0,1.0,0
24.0,1.0,16.0,0,7210.0,12.0,0.0,40.0,0,8.0,0
33.0,1.0,1.0,1,3603.0,400.0,1.0,40.0,1,1.0,0
22.0,1.0,19.0,0,5240.0,12.0,2.0,25.0,0,1.0,0
43.0,1.0,21.0,1,4720.0,362.0,0.0,30.0,0,9.0,0
26.0,1.0,21.0,0,440.0,13.0,0.0,50.0,1,1.0,1
51.0,1.0,21.0,1,440.0,36.0,0.0,40.0,1,1.0,1
21.0,1.0,20.0,0,4720.0,12.0,2.0,25.0,1,1.0,0
81.0,1.0,18.0,0,440.0,17.0,0.0,20.0,0,1.0,0
55.0,1.0,21.0,1,440.0,12.0,0.0,50.0,0,1.0,1
35.0,6.0,21.0,1,5120.0,42.0,2.0,10.0,1,1.0,0
60.0,3.0,18.0,0,4600.0,40.0,0.0,38.0,1,8.0,0
26.0,3.0,19.0,0,3945.0,12.0,2.0,20.0,0,2.0,0
61.0,1.0,1.0,1,4251.0,312.0,15.0,32.0,0,1.0,0
55.0,6.0,13.0,0,7200.0,72.0,0.0,5.0,0,8.0,0
54.0,3.0,22.0,1,230.0,36.0,0.0,45.0,1,1.0,1
26.0,1.0,14.0,1,6765.0,36.0,1.0,40.0,0,1.0,0
20.0,1.0,16.0,0,5810.0,12.0,5.0,28.0,0,2.0,0
44.0,7.0,21.0,1,3630.0,17.0,2.0,40.0,0,1.0,0
24.0,3.0,21.0,0,4622.0,12.0,0.0,40.0,1,1.0,0
33.0,1.0,18.0,1,310.0,315.0,0.0,51.0,0,2.0,0
51.0,1.0,21.0,1,5350.0,6.0,1.0,40.0,1,6.0,0
68.0,7.0,23.0,0,2100.0,26.0,0.0,2.0,1,1.0,0
20.0,1.0,19.0,0,4720.0,12.0,17.0,8.0,1,2.0,0
68.0,6.0,23.0,1,3010.0,368.0,1.0,40.0,1,2.0,1
40.0,1.0,21.0,0,20.0,50.0,0.0,45.0,1,1.0,1
69.0,1.0,1.0,1,4521.0,247.0,0.0,16.0,0,6.0,0
40.0,1.0,21.0,1,4760.0,6.0,1.0,40.0,1,5.0,0
45.0,1.0,16.0,1,9130.0,12.0,1.0,40.0,0,1.0,0
64.0,7.0,23.0,0,3010.0,6.0,0.0,40.0,1,1.0,1
65.0,1.0,18.0,1,1050.0,365.0,0.0,25.0,0,1.0,0
56.0,1.0,19.0,1,9130.0,360.0,1.0,40.0,0,1.0,0
43.0,1.0,21.0,0,7340.0,373.0,13.0,40.0,0,8.0,0
58.0,6.0,16.0,0,7750.0,24.0,2.0,35.0,1,1.0,0
48.0,1.0,16.0,1,136.0,17.0,1.0,40.0,1,1.0,1
61.0,1.0,20.0,1,5740.0,37.0,0.0,28.0,1,1.0,0
59.0,6.0,21.0,0,9130.0,36.0,0.0,65.0,0,1.0,0
54.0,7.0,24.0,0,10.0,5.0,0.0,30.0,0,1.0,1
59.0,1.0,16.0,0,160.0,12.0,0.0,40.0,0,1.0,0
47.0,1.0,21.0,1,2205.0,414.0,1.0,40.0,1,1.0,0
53.0,1.0,22.0,0,800.0,333.0,0.0,45.0,1,2.0,1
40.0,1.0,23.0,1,3250.0,110.0,0.0,45.0,1,1.0,1
44.0,3.0,20.0,1,3255.0,33.0,1.0,40.0,1,1.0,0
31.0,2.0,22.0,1,2360.0,16.0,1.0,45.0,0,1.0,0
48.0,1.0,12.0,1,9640.0,327.0,0.0,40.0,1,1.0,0
45.0,1.0,14.0,0,4020.0,36.0,0.0,24.0,1,2.0,0
52.0,1.0,19.0,0,3603.0,327.0,0.0,66.0,1,1.0,0
45.0,1.0,21.0,1,4850.0,22.0,1.0,60.0,1,1.0,1
26.0,1.0,21.0,1,4840.0,12.0,1.0,5.0,1,1.0,0
